n	price	totsp	livesp	kitsp	dist	metrdist	walk	brick	floor	code
1	81	58	40	6	12.5	7	1	1	1	3
2	75	44	28	6	13.5	7	1	0	1	6
3	128	70	42	6	14.5	3	1	1	1	3
4	95	61	37	6	13.5	7	1	0	1	1
5	330	104	60	11	10.5	7	0	1	1	3
6	137	76	50	9	11	7	1	1	1	8
7	98	59	39	6	7.5	10	0	0	1	8
8	88	55	36	6	9	5	1	1	0	4
9	225	80	56	9	9	5	1	1	1	3
10	140	86	51	10	12.7	10	1	0	1	5
11	132	96	56	12	10.5	7	0	0	1	3
12	115	77	50	9	3.5	7	1	0	0	7
13	142	70	47	8	7.5	5	1	0	1	3
14	84	63	44	7	14.5	10	0	0	1	3
15	100	66	43	7	12	7	0	0	1	7
16	110	75	50	10	13.5	10	0	0	1	6
17	170	87	58	8	7.5	7	1	1	1	3
18	175	79	50	9	4.5	1	1	1	0	8
19	96	60	43	6	12	15	1	0	1	7
20	110	85	54	10	6	10	0	1	1	6
21	170	84	55	11	3	15	1	1	0	1
22	125	62	40	8	12.5	5	1	0	1	2
23	135	72	51	8	9	5	1	1	1	3
24	95	58	38	6	12	8	1	0	1	1
25	148	92	61	10	10.5	15	1	1	1	7
26	56	68	43	7	13.5	10	0	1	1	6
27	135	82	46	13	12	5	1	0	1	5
28	130	73	52	7	11	5	1	1	1	8
29	72	49	34	6	7	10	0	0	1	5
30	127	85	46	14	12	7	1	1	1	5
31	140	65	44	8	4.5	5	1	0	1	8
32	112	73	51	8	10.5	7	0	1	1	3
33	120	83	56	10	12	15	1	1	1	5
34	130	70	47	8	9	5	1	0	1	4
35	110	75	43	10	12.7	5	1	0	1	5
36	450	125	80	20	9	3	1	0	1	4
37	159	81	56	8	7.5	15	1	1	0	8
38	120	77	47	12	13.5	10	1	0	1	1
39	132	77	41	10	10	7	0	0	1	6
40	169	68	40	8	3	5	1	1	1	1
41	185	75	47	9	3	3	1	1	0	1
42	92	61	33	7	10.5	10	1	1	0	7
43	88	60	43	6	12	5	0	0	0	7
44	90	58	43	6	13.5	2	1	0	1	6
45	115	77	50	9	6	10	1	1	1	6
46	265	100	56	14	7	10	0	0	1	4
47	129	79	46	13	12	15	1	0	1	1
48	110	65	46	7	12.5	5	1	0	1	2
49	102	60	43	6	12	5	0	1	1	7
50	101	77	45	13	13	10	0	0	1	5
51	86	60	42	7	12	10	0	0	1	8
52	115	75	42	8	12	15	0	0	1	7
53	87	64	46	7	12	5	1	0	1	5
54	140	99	51	12	10.5	1	1	0	0	7
55	219	113	60	20	9	10	1	0	1	3
56	79	51	34	6	13.5	5	1	0	1	6
57	180	81	50	11	7.5	5	1	1	0	3
58	89	62	38	9	13	4	0	0	0	5
59	340	83	49	19	9	5	1	1	1	3
60	112	75	42	10	12	5	0	0	1	5
61	99	67	37	7	10.5	10	0	1	1	3
62	170	89	51	12	12.7	6	1	0	0	5
63	198	80	45	10	7	7	0	0	1	4
64	89	51	34	6	3.5	10	1	0	0	7
65	193	78	55	8	7.5	10	1	0	1	3
66	100	57	42	6	11	10	1	1	1	5
67	135	77	47	10	13.5	10	0	0	1	1
68	100	78	44	8	13.5	20	0	0	1	1
69	136	64	38	8	3	3	1	0	1	1
70	133	80	48	10	10.5	10	1	0	0	7
71	145	85	58	8	12	4	1	1	1	8
72	105	79	52	10	14.5	10	0	0	0	3
73	97	53	34	6	9	5	1	0	1	4
74	220	103	49	13	14.5	10	1	1	1	3
75	125	77	45	10	12	10	1	0	1	5
76	110	81	45	10	13	12	1	0	1	5
77	153	87	66	9	7.5	10	1	1	1	8
78	137	74	44	10	15.5	8	0	0	1	1
79	85	59	45	6	12	5	1	0	1	5
80	95	64	45	6	12.5	10	1	0	0	2
81	115	67	41	9	14.5	7	0	0	1	2
82	76	55	36	6	12.5	15	0	1	0	3
83	139	80	48	10	10.5	15	1	0	1	7
84	350	80	44	14	10.5	10	1	1	0	7
85	105	66	40	8	12.5	5	1	0	1	2
86	110	51	34	6	3.5	7	1	0	1	7
87	99	66	44	8	12	5	1	0	0	5
88	90	60	45	6	13.5	5	1	0	1	6
89	130	80	46	10	10.5	15	1	0	1	7
90	165	65	45	9	9	10	1	1	1	3
91	130	75	44	11	13.5	10	0	0	1	1
92	158	78	48	9	9	4	1	1	1	4
93	380	130	72	15	7	5	0	0	1	4
94	210	80	42	20	8	5	1	0	1	1
95	116	75	51	9	3.5	5	0	1	0	7
96	140	76	44	10	12.5	5	1	0	1	2
97	130	86	54	13	6	10	1	0	1	6
98	82	51	35	6	12.5	5	1	0	1	2
99	208	115	70	14	10	3	1	1	1	6
100	99	65	40	8	17	12	1	0	0	2
101	110	77	46	11	13	2	1	0	1	5
102	470	120	75	18	9	10	1	1	1	3
103	105	57	42	6	3	15	1	1	1	1
104	169	70	44	8	8	5	1	1	1	1
105	94	64	45	7	12.5	12	1	0	1	2
106	136	78	46	10	12.5	5	0	0	0	2
107	88	55	38	6	6.5	10	1	1	0	2
108	130	81	56	9	6	7	1	1	1	6
109	150	87	55	10	12	3	1	0	1	8
110	84	58	43	5	12	15	1	1	0	7
111	74	60	43	6	13.5	5	0	0	0	6
112	138	77	45	10	13	5	0	0	1	5
113	125	62	42	10	12	10	1	0	1	1
114	105	57	40	6	4.5	5	1	1	1	8
115	138	70	45	8	10.5	10	1	1	1	3
116	129	86	55	10	10.5	10	0	0	0	3
117	120	56	42	6	12	5	1	1	1	7
118	95	64	39	8	12	15	1	0	1	7
119	82	56	39	5	10.5	5	0	1	1	3
120	74	51	35	6	13.5	10	1	0	0	6
121	110	83	47	10	17	10	1	0	1	4
122	87	60	43	6	12	7	0	0	1	7
123	190	81	46	12	12	5	0	0	1	8
124	90	58	43	6	17	10	1	0	1	4
125	152	79	53	8	9	3	1	0	1	4
126	120	74	40	12	12.7	7	1	1	1	5
127	195	83	55	10	4.5	3	1	1	0	8
128	144	80	51	10	13.5	10	1	0	1	1
129	149	78	48	13	4.5	5	1	1	1	8
130	140	56	40	5	9	5	1	1	0	3
131	105	57	44	6	9	5	1	1	0	4
132	185	73	45	8	3	2	1	1	1	1
133	115	78	54	8	11.5	10	1	1	1	6
134	115	74	45	10	13	15	1	0	1	5
135	106	58	44	6	7	10	0	0	0	4
136	92	64	39	8	12	7	0	0	1	1
137	105	56	42	6	3	15	1	1	1	1
138	120	82	44	11	12.7	12	1	0	1	5
139	52	86	46	9	12	10	0	0	1	7
140	169	95	58	14	9	7	0	1	1	4
141	225	80	53	9	7	5	1	1	1	4
142	94	59	43	5	14.5	5	0	0	1	3
143	99	76	45	10	12	10	1	0	1	5
144	86	51	35	6	17	10	1	0	0	4
145	177	80	50	9	4.5	2	1	0	0	8
146	113	75	45	10	12	7	1	0	1	5
147	110	76	46	10	13	7	1	0	1	5
148	145	78	50	10	12	3	1	0	1	5
149	90	56	41	5	6	15	1	1	1	6
150	199	127	62	20	13.5	10	0	1	1	1
151	372	158	80	20	10.5	10	1	0	1	3
152	95	58	42	6	7.5	15	1	1	1	3
153	78	51	34	6	13.5	10	1	1	1	6
154	135	84	45	11	12	10	0	0	1	7
155	100	80	45	12	12.7	15	1	0	1	5
156	153	76	46	10	9	5	0	0	1	4
157	95	65	47	9	13.5	7	1	0	1	6
158	103	60	43	6	12.5	5	1	0	1	2
159	114	80	45	13	12	7	1	0	0	5
160	113	85	46	10	12	15	0	0	1	7
161	108	80	52	10	12	10	0	0	1	7
162	107	74	44	11	13	5	0	0	0	5
163	100	77	52	9	10.5	15	0	1	1	3
164	106	76	43	12	13	5	0	0	0	5
165	84	60	44	6	13.5	7	0	0	1	1
166	139	73	51	9	7.5	10	0	1	0	8
167	106	76	46	10	13	5	0	0	1	5
168	124	78	55	8	13.5	10	1	1	1	1
169	112	65	40	8	17	5	1	0	0	2
170	110	65	43	7	12	10	0	0	1	7
171	80	60	44	6	13.5	10	0	0	1	6
172	115	58	41	5	7.5	7	1	1	0	3
173	110	83	47	10	17	10	1	0	1	4
174	138	68	46	8	9	10	1	0	1	4
175	50	63	47	7	12	20	0	1	0	7
176	132	77	43	8	12.5	5	1	0	1	2
177	80	58	43	6	10	10	1	1	1	6
178	88	59	44	6	13.5	10	1	0	1	6
179	194	106	60	17	9	5	0	1	1	4
180	130	78	54	8	7.5	10	0	0	1	8
181	86	50	34	6	12	10	0	0	0	8
182	128	70	50	8	5	5	1	1	0	4
183	155	85	53	7	4.5	10	1	0	0	8
184	270	105	74	18	5	1	1	1	1	4
185	85	60	43	6	14.5	6	0	0	1	2
186	135	76	44	10	12.7	2	1	0	0	5
187	200	122	68	12	10	5	1	0	1	6
188	90	51	35	6	7	3	1	0	1	4
189	133	65	47	8	12.5	2	1	0	1	3
190	103	69	44	9	14.5	10	0	0	1	3
191	89	61	44	6	12.5	10	1	0	1	2
192	81	56	39	6	11.5	10	1	0	1	6
193	106	58	42	6	12	5	1	1	1	8
194	166	77	45	11	10.5	15	1	1	1	3
195	78	55	37	6	11.5	2	1	1	1	6
196	110	77	45	10	12	10	0	0	1	7
197	120	74	44	10	12.7	10	1	0	1	5
198	100	80	51	10	13.5	10	0	0	1	6
199	127	76	42	10	13.5	10	0	0	1	6
200	150	75	46	11	9	15	1	0	1	4
201	99	79	62	6	17	2	1	1	0	4
202	118	67	44	8	6	10	1	0	1	6
203	120	63	43	9	12	1	1	0	0	8
204	85	64	45	7	15.5	10	1	0	0	1
205	167	78	54	8	9	10	1	1	1	3
206	105	58	44	5	17	2	1	1	1	2
207	130	56	41	6	9	5	1	1	0	3
208	125	80	45	13	13	10	0	0	0	5
209	86	59	43	6	17	5	1	0	1	4
210	105	60	41	8	4.5	10	1	1	0	8
211	118	68	49	11	7.5	7	1	0	0	8
212	107	75	44	8	12	10	1	0	0	5
213	100	65	46	6	15.5	7	1	0	1	1
214	195	83	55	9	9	3	1	1	1	3
215	120	66	40	19	7.5	10	1	1	1	8
216	95	60	43	6	14.5	10	1	0	1	3
217	110	58	43	6	14.5	10	1	1	1	3
218	80	55	41	5	11.5	3	1	1	1	6
219	97	75	45	10	13	5	0	0	1	5
220	92	63	39	8	15.5	5	1	0	1	1
221	130	75	44	8	12.7	3	1	0	1	5
222	235	92	52	15	3.5	3	1	0	1	7
223	93	60	38	8	12	5	1	0	1	5
224	95	82	48	8	13	10	1	0	1	5
225	115	77	46	10	12.7	7	1	0	1	5
226	140	76	44	10	12	2	1	0	1	5
227	92	82	48	8	13	12	0	0	1	5
228	89	60	44	6	14.5	7	1	1	1	3
229	230	103	51	14	14.5	15	1	1	1	3
230	95	64	40	8	15.5	15	1	0	1	1
231	156	83	55	9	10.5	10	1	1	1	7
232	135	77	46	10	12.7	2	1	0	1	5
233	125	78	60	11	14.5	10	0	0	1	3
234	122	74	50	8	10.5	10	1	1	0	3
235	140	85	52	11	9	10	0	0	1	3
236	95	64	45	6	14.5	10	1	0	1	2
237	105	65	39	11	12	5	0	0	1	7
238	150	78	44	8	13.5	1	1	0	1	1
239	136	74	45	10	13.5	5	0	0	1	1
240	170	80	48	9	14.5	7	1	1	1	3
241	105	75	45	10	12	7	1	0	1	5
242	125	82	52	12	13.5	10	0	0	0	6
243	73	61	41	6	13	10	0	0	0	5
244	93	78	46	10	12	15	0	0	1	7
245	95	64	45	7	12.5	10	1	0	1	2
246	225	101	65	15	10.5	20	1	1	1	3
247	108	65	40	8	17	5	1	0	1	2
248	92	60	45	6	9	7	0	1	1	3
249	90	57	38	6	7.5	6	1	1	0	3
250	145	85	54	11	8	10	0	1	1	1
251	93	67	47	6	12	5	0	0	1	7
252	160	80	56	9	12	5	1	1	1	8
253	93	62	37	8	12.5	10	1	0	1	2
254	90	57	43	6	12	5	1	1	1	1
255	79	55	40	6	10.5	10	0	1	1	3
256	95	73	43	11	12.7	10	1	0	0	5
257	110	75	52	9	7.5	10	0	1	1	8
258	125	66	44	9	12.5	15	1	0	1	3
259	299	99	65	11	9	10	1	1	1	3
260	127	77	46	10	12.5	10	1	0	1	2
261	112	75	45	10	12	7	1	0	1	5
262	84	58	43	5	12	15	1	1	0	7
263	195	110	55	11	12	1	1	1	1	7
264	170	81	60	13	13	5	1	0	1	5
265	95	67	45	9	13.5	10	0	0	0	1
266	450	145	82	14	4.5	3	1	1	1	8
267	160	85	56	12	6.5	10	1	1	1	2
268	165	78	46	10	5	10	1	0	1	4
269	80	56	38	6	7	10	1	0	1	5
270	125	78	50	9	13.5	15	1	1	0	1
271	120	77	44	10	13.5	5	0	1	1	6
272	226	82	52	10	3	3	1	0	1	1
273	105	66	48	8	12	1	1	0	0	5
274	120	66	43	10	9	10	0	0	1	4
275	150	77	45	10	5	10	1	0	1	4
276	103	77	46	11	13	5	0	0	1	5
277	115	57	42	6	10.5	4	0	1	1	3
278	140	87	57	7	10.5	3	1	1	1	3
279	185	80	53	9	7.5	15	1	1	1	8
280	120	80	50	10	7	7	1	0	1	5
281	82	57	46	6	12	10	1	1	1	7
282	130	74	53	7	4.5	7	1	1	1	8
283	110	70	42	10	14.5	7	0	0	1	3
284	90	61	49	6	12	10	1	0	1	8
285	185	108	62	12	13.5	10	0	0	1	6
286	146	80	46	10	7.5	10	1	1	1	3
287	105	68	46	8	12	15	1	0	1	7
288	193	100	56	12	12	10	0	1	1	7
289	75	51	34	6	9	5	0	0	0	4
290	138	65	47	9	5	10	1	0	1	4
291	115	63	40	8	12.5	10	0	0	1	3
292	93	59	44	6	7	5	0	0	0	4
293	123	83	50	11	12.7	15	1	0	1	5
294	120	82	53	9	11.5	10	0	1	1	6
295	90	66	43	6	15.5	5	1	0	0	1
296	86	56	39	6	12.5	10	0	0	1	3
297	103	64	40	8	17	5	1	0	1	2
298	85	59	43	6	13.5	15	0	0	1	1
299	123	85	51	10	12.7	3	1	0	1	5
300	110	69	44	10	12	5	1	0	1	7
301	88	60	44	10	12	10	0	0	0	7
302	116	75	46	10	13.5	10	0	0	1	6
303	119	71	52	8	8	10	0	1	0	1
304	130	80	45	13	12	5	0	0	1	5
305	85	55	40	6	11	5	0	1	1	8
306	93	79	45	10	13	7	0	0	0	5
307	127	79	45	13	12	3	1	0	1	1
308	143	77	42	10	6	5	0	0	1	6
309	105	77	46	8	12	15	0	0	0	7
310	177	74	45	8	5	15	1	1	1	4
311	73	54	37	6	14.5	10	1	0	1	3
312	145	74	45	11	17	10	0	0	1	2
313	99	72	50	9	7.5	10	0	1	1	8
314	91	60	44	6	12	10	1	1	1	7
315	122	68	44	8	10.5	5	0	0	1	3
316	147	74	49	9	7.5	10	1	1	1	3
317	84	76	45	10	17	10	1	0	1	4
318	73	51	34	6	7	7	1	0	1	5
319	85	58	39	6	10	7	0	0	1	6
320	135	68	46	8	12.5	7	0	0	1	3
321	116	75	44	13	12	10	1	0	1	1
322	136	76	44	10	14.5	9	0	0	1	3
323	88	56	36	6	17	10	0	0	1	2
324	153	87	55	10	6.5	5	0	1	1	2
325	135	74	44	10	10.5	7	1	0	0	3
326	135	74	51	9	10.5	7	1	1	1	7
327	100	68	53	6	12	10	1	0	1	7
328	115	66	37	7	11	7	1	0	1	8
329	120	69	40	9	13.5	15	1	0	1	1
330	149	84	46	10	13.5	7	0	0	1	1
331	98	56	33	6	8	10	1	0	0	1
332	85	60	44	6	7	7	1	0	1	5
333	169	80	50	8	10	5	1	1	1	6
334	100	55	38	6	3.5	5	1	1	0	7
335	125	64	44	9	12	12	1	0	1	8
336	95	55	35	8	7.5	7	1	1	1	3
337	114	75	44	10	13	2	1	0	1	5
338	105	78	50	8	9	10	1	1	0	4
339	125	75	53	8	11	3	1	1	1	8
340	100	65	39	9	17	10	1	0	1	2
341	93	64	41	7	14.5	3	1	0	1	2
342	165	99	70	9	7.5	7	0	1	1	8
343	72	52	35	6	13.5	10	0	0	1	1
344	125	78	52	7	11	7	1	1	1	8
345	250	74	47	10	3	5	1	1	0	1
346	165	87	51	12	12.7	6	1	0	0	5
347	148	84	52	8	6.5	3	1	1	1	5
348	130	81	49	9	13	10	0	1	1	5
349	148	74	51	9	7.5	10	1	1	1	3
350	123	79	45	13	9	20	1	0	1	4
351	149	77	45	9	12	5	1	0	1	1
352	97	55	35	6	9	10	1	0	1	4
353	80	50	34	6	12	5	0	0	0	8
354	100	58	42	5	12	10	0	1	1	8
355	105	75	45	10	12	5	0	0	1	5
356	80	52	36	6	10.5	15	1	1	0	7
357	120	100	63	9	13	7	0	0	1	5
358	78	59	42	6	12.5	10	0	0	0	2
359	209	90	57	8	10.5	2	1	1	1	3
360	190	81	51	14	9	3	1	1	1	3
361	88	51	35	6	10.5	3	1	0	1	7
362	135	85	53	9	10.5	7	0	1	0	3
363	185	90	54	13	7.5	7	1	1	1	3
364	299	100	65	11	9	10	1	0	1	3
365	111	81	45	9	14.5	10	0	0	0	3
366	102	65	44	7	13.5	10	1	0	1	6
367	94	65	45	7	14.5	10	1	0	0	2
368	165	79	53	9	8	15	1	1	1	1
369	164	90	52	13	10	3	1	1	1	6
370	110	63	45	7	13.5	10	1	0	1	1
371	137	78	51	9	6	15	1	1	1	6
372	97	57	42	6	13.5	5	0	1	1	1
373	155	80	46	13	12	15	1	0	0	8
374	153	75	45	10	7	15	1	0	0	4
375	132	88	55	14	17	5	1	0	1	4
376	110	74	45	10	12.7	7	1	0	1	5
377	103	63	38	8	10.5	10	0	0	1	3
378	79	49	33	6	14.5	10	1	0	0	3
379	200	121	71	12	10	3	1	0	1	6
380	85	59	44	6	9	5	0	0	1	4
381	108	66	43	7	17	5	1	0	1	4
382	125	81	56	9	6	5	1	1	0	6
383	145	90	55	10	9	7	1	1	0	4
384	250	74	56	8	4.5	7	1	1	1	8
385	140	78	46	11	12	5	1	0	1	8
386	160	79	51	12	3	8	1	1	1	1
387	122	96	51	12	13.5	10	0	0	0	6
388	100	63	42	7	13.5	15	1	1	1	1
389	87	55	38	5	6.5	5	1	1	1	5
390	92	69	47	6	12	10	0	0	0	7
391	150	77	42	8	6	15	1	0	1	6
392	150	112	64	16	14.5	5	0	0	1	3
393	88	61	42	6	12.5	5	1	0	1	2
394	100	78	45	10	13	7	1	0	1	5
395	92	64	38	8	10.5	15	1	0	0	7
396	112	76	54	8	10.5	15	1	1	0	7
397	90	65	45	7	12	7	1	0	1	5
398	140	85	50	8	6.5	2	1	1	1	5
399	100	75	45	10	13	5	0	0	1	5
400	83	58	38	6	12.5	10	1	0	0	2
401	115	72	50	8	10.5	10	0	1	1	3
402	92	68	53	6	13	10	0	0	1	5
403	110	65	41	11	12.5	15	1	1	1	8
404	103	64	45	6	17	5	1	0	1	2
405	165	78	47	9	5	10	1	1	1	4
406	165	89	57	9	7	5	0	0	1	4
407	371	128	70	18	7	5	0	0	1	4
408	85	60	38	6	17	7	1	0	0	2
409	95	65	39	8	12	15	1	0	1	7
410	141	113	58	13	13.5	10	0	0	1	1
411	113	77	50	8	12.5	15	0	1	0	3
412	125	73	52	8	11	10	1	1	1	8
413	108	64	40	9	12	10	0	1	1	1
414	84	59	45	5	10	15	1	0	1	6
415	170	71	47	8	7.5	10	1	1	1	3
416	112	72	51	8	6.5	5	1	1	1	5
417	131	76	45	10	12	7	1	0	1	1
418	110	77	46	9	13	5	1	0	0	5
419	135	79	48	9	10.5	5	1	1	0	7
420	132	69	44	8	8	10	1	0	1	1
421	135	100	50	10	15.5	10	1	0	1	1
422	95	63	39	8	14.5	15	1	0	1	2
423	140	77	45	10	10	5	1	0	1	6
424	120	77	45	10	13	10	1	0	1	5
425	115	68	44	9	12	7	1	0	1	7
426	165	96	58	14	7	5	0	0	1	4
427	99	66	39	8	17	10	1	0	0	2
428	192	123	68	16	14.5	10	0	0	0	3
429	128	75	45	10	17	3	1	1	1	2
430	105	63	44	7	17	3	1	0	1	4
431	133	83	46	12	13.5	10	1	1	1	1
432	96	64	41	9	13.5	12	1	0	1	1
433	168	84	54	8	7.5	10	1	1	1	8
434	150	78	45	10	14.5	10	0	0	1	3
435	135	84	55	11	3	15	1	1	1	1
436	85	65	43	10	12	5	0	0	1	5
437	85	57	37	5	12	7	0	0	1	8
438	138	86	50	10	13.5	10	1	1	1	1
439	87	57	45	6	12	15	1	0	1	8
440	115	80	48	11	12.7	5	0	0	1	5
441	117	80	44	13	10.5	10	0	0	1	3
442	154	95	51	11	6.5	3	1	1	1	5
443	84	60	43	6	12	10	1	0	1	5
444	160	114	67	15	14.5	10	0	0	1	3
445	93	61	43	6	14.5	7	0	0	1	2
446	130	77	47	11	11	7	1	0	1	5
447	100	70	44	8	15.5	7	0	0	0	1
448	135	78	44	11	12.7	10	1	0	1	5
449	84	59	38	6	7	10	1	0	1	5
450	105	66	44	7	3.5	10	1	0	1	7
451	155	75	46	10	12	5	1	0	1	8
452	120	76	45	10	13	10	1	0	1	5
453	105	60	35	8	11	5	1	1	1	8
454	75	53	35	7	11.5	5	1	1	0	6
455	110	77	46	10	6	10	0	0	1	6
456	280	108	65	14	14.5	15	1	1	1	3
457	115	85	52	10	12	10	1	0	1	5
458	78	57	37	6	13.5	10	1	0	1	6
459	227	134	70	16	9	5	1	0	1	4
460	86	56	42	5	6.5	5	1	1	0	5
461	106	70	43	10	12.7	10	1	0	0	5
462	93	66	39	8	14.5	15	1	0	1	2
463	112	79	45	8	11.5	2	1	1	1	6
464	93	64	45	7	13.5	7	0	0	1	1
465	120	74	45	10	13	15	1	0	1	5
466	92	60	41	6	14.5	7	1	0	0	2
467	220	81	46	13	9	7	1	0	1	4
468	107	66	42	9	8	7	0	0	1	1
469	115	62	38	9	17	7	1	0	0	2
470	83	61	38	6	13	10	0	0	0	5
471	140	66	47	6	4.5	2	1	1	0	8
472	105	64	45	6	13.5	7	1	0	1	1
473	120	57	43	6	8	5	1	1	0	1
474	88	64	46	7	17	15	1	0	0	2
475	115	76	40	11	12.7	10	1	0	1	5
476	140	70	45	10	9	10	1	0	1	3
477	149	94	57	8	10.5	15	0	1	1	3
478	120	75	43	10	17	10	1	0	1	2
479	170	92	62	18	6	7	1	1	1	6
480	105	73	49	8	11.5	5	1	0	0	6
481	189	86	55	10	9	10	1	1	1	3
482	86	61	42	6	12	7	0	1	1	5
483	126	80	40	14	12	10	0	0	1	7
484	85	59	40	6	10	5	0	0	1	6
485	140	82	47	11	12.5	10	1	1	0	2
486	104	84	52	11	13	5	0	0	1	5
487	108	66	45	10	12	5	1	0	1	7
488	84	60	45	6	13.5	7	0	0	1	6
489	90	55	35	6	14.5	5	0	0	1	3
490	87	61	43	6	12	15	1	0	1	7
491	115	71	42	10	12	5	1	0	0	8
492	78	58	44	6	7	7	1	0	0	5
493	120	80	47	9	13.5	10	0	0	1	6
494	98	74	44	10	12	15	1	0	0	7
495	152	81	54	8	7.5	12	1	1	1	3
496	105	82	48	8	13	10	0	0	1	5
497	158	78	48	12	9	4	1	1	1	4
498	87	58	33	5	11.5	5	1	0	1	6
499	150	108	56	15	11	5	1	1	1	5
500	109	79	45	13	14.5	5	0	1	1	3
501	158	64	44	9	7	3	1	0	1	4
502	160	86	51	8	12	2	1	1	1	7
503	80	56	37	6	10	1	1	0	0	6
504	115	66	38	7	11	7	1	1	1	8
505	260	70	45	8	8	7	1	1	0	1
506	90	56	40	5	12.5	5	1	1	1	3
507	132	76	43	8	12.5	5	1	0	1	2
508	84	59	46	6	10	15	1	0	1	6
509	112	63	35	8	11	7	1	0	1	8
510	120	77	43	8	10.5	10	0	0	1	3
511	115	76	45	10	12	15	0	0	1	7
512	165	74	41	9	6.5	5	1	1	1	2
513	125	77	46	10	10.5	15	1	0	1	7
514	103	67	43	9	13.5	10	0	0	1	1
515	130	72	47	10	13.5	7	1	1	0	1
516	129	59	41	6	9	5	1	1	0	3
517	80	52	34	6	17	10	1	0	0	4
518	190	84	55	9	4.5	5	1	1	1	8
519	130	72	42	9	12	5	1	0	1	1
520	86	56	42	5	6.5	5	1	1	0	5
