n	price	totsp	livesp	kitsp	dist	metrdist	walk	brick	floor	code
521	190	106	58	24	9	5	0	0	1	4
522	132	84	52	11	12.7	20	1	0	1	5
523	170	80	45	13	12	10	1	0	1	8
524	118	78	52	9	11	5	1	1	1	5
525	78	63	47	6	13.5	5	0	1	1	6
526	77	56	38	6	13.5	10	0	1	0	1
527	77	50	34	6	13.5	2	1	0	1	6
528	105	75	45	10	14.5	10	0	0	1	3
529	150	76	45	10	12	5	1	0	1	1
530	143	75	45	9	10.5	7	1	0	1	3
531	350	113	85	20	9	10	1	0	1	3
532	110	70	40	9	13.5	5	1	0	0	6
533	159	107	64	13	14.5	10	0	1	1	3
534	135	75	46	10	7	12	0	0	1	4
535	89	60	43	6	15.5	5	1	1	1	1
536	170	76	50	10	5	5	1	1	1	4
537	89	55	37	6	10.5	10	1	1	1	3
538	115	64	44	7	12	5	0	0	1	7
539	110	77	40	11	12.7	15	1	0	1	5
540	84	59	44	6	12	10	1	0	1	5
541	130	78	46	10	14.5	7	1	0	1	2
542	87	90	57	13	14.5	15	1	1	1	2
543	79	60	44	6	15.5	15	1	0	0	1
544	115	60	39	6	4.5	10	1	0	1	8
545	95	67	41	9	13.5	7	0	0	1	6
546	98	64	42	7	14.5	5	0	0	1	3
547	83	64	42	9	17	10	0	0	0	2
548	130	82	54	8	3.5	10	1	1	1	7
549	105	56	43	6	3	10	1	1	1	1
550	124	77	44	10	14.5	5	0	0	1	2
551	107	65	39	8	12.5	20	1	0	1	2
552	180	83	53	8	12	5	1	1	1	7
553	110	76	45	10	13	10	1	0	1	5
554	157	75	53	10	12.5	5	1	0	1	2
555	210	105	55	14	17	5	0	0	1	2
556	95	64	45	6	12.5	10	1	0	1	2
557	371	120	59	15	7	10	0	0	1	4
558	145	73	45	7	9	1	1	1	1	4
559	85	58	43	5	7	10	0	0	1	4
560	87	58	40	6	6.5	5	1	0	0	2
561	118	84	48	9	12.7	5	0	0	1	5
562	86	58	38	8	11.5	7	1	0	1	6
563	157	80	48	9	7	5	0	0	1	4
564	190	73	54	9	3	10	1	1	1	1
565	85	65	43	5	7.5	5	1	1	1	8
566	140	80	51	7	7.5	7	1	1	1	8
567	85	55	42	6	14.5	5	1	1	1	3
568	78	58	37	6	12	10	0	0	1	7
569	185	80	53	9	7.5	10	1	1	1	8
570	162	75	52	12	3.5	5	1	1	1	7
571	164	90	52	13	10	3	1	1	1	6
572	210	81	48	10	3	5	1	1	1	1
573	99	63	38	8	10.5	5	1	0	0	3
574	125	75	52	9	10.5	5	0	1	1	3
575	85	60	43	6	12	5	1	0	1	5
576	225	92	48	13	9	1	1	1	1	4
577	85	61	45	6	13.5	15	1	0	1	6
578	112	77	45	10	17	10	0	0	1	2
579	135	83	53	9	13.5	10	0	0	1	1
580	235	101	59	15	8	7	1	1	1	1
581	147	76	46	10	12	3	1	0	1	8
582	93	55	39	6	8	10	1	1	0	1
583	105	75	46	10	13	7	0	0	0	5
584	105	69	43	6	17	5	1	0	1	4
585	185	95	57	12	5	5	1	0	0	4
586	110	75	52	9	11.5	10	1	1	0	6
587	215	86	58	12	3	5	1	1	1	1
588	175	79	47	9	14.5	7	1	1	1	3
589	99	62	39	8	17	10	1	0	1	2
590	144	80	48	13	15.5	10	1	0	1	1
591	98	74	46	11	12.5	10	0	1	0	3
592	135	72	46	8	10	5	1	0	1	6
593	140	78	46	9	10.5	10	1	1	1	7
594	205	88	59	9	9	10	1	1	0	3
595	145	84	53	10	15.5	15	1	0	1	1
596	150	86	53	9	11.5	1	1	0	1	6
597	110	59	38	8	14.5	5	0	0	1	3
598	285	90	57	7	3	3	1	0	1	1
599	98	54	36	5	3.5	12	1	1	1	7
600	135	80	45	13	12.5	5	0	0	1	3
601	95	54	38	6	10.5	5	1	0	1	7
602	150	80	48	13	14.5	10	0	0	1	3
603	105	72	43	10	12	10	1	0	1	5
604	105	65	39	8	12	5	0	0	1	7
605	105	53	39	5	3.5	7	1	1	0	7
606	125	67	46	8	12.5	15	1	0	1	3
607	95	65	45	7	14.5	12	1	0	1	2
608	115	77	51	7	5	5	1	1	0	4
609	110	65	45	11	7	7	1	0	1	4
610	143	93	57	9	10.5	5	0	1	1	3
611	165	77	44	10	8	10	1	0	1	1
612	168	75	46	10	6.5	1	1	1	1	2
613	96	60	38	6	12	5	0	0	1	7
614	180	88	55	11	6	3	1	0	1	6
615	105	74	45	10	13	10	1	0	0	5
616	81	53	34	6	13	15	1	0	0	5
617	87	58	37	7	13.5	15	0	0	1	1
618	177	103	54	11	9	5	1	0	1	3
619	119	80	51	8	11.5	15	1	0	1	6
620	120	81	48	8	13	7	1	0	1	5
621	132	88	63	8	8	5	1	1	1	1
622	85	59	38	6	13.5	10	1	0	1	6
623	140	74	45	10	12.5	2	1	0	1	2
624	90	60	43	6	13.5	5	0	0	0	6
625	455	192	92	18	7.5	5	1	0	1	3
626	194	105	58	11	9	5	1	0	1	3
627	170	65	45	7	7.5	2	1	1	1	3
628	100	57	40	6	8	5	1	0	1	1
629	140	80	51	10	13.5	10	1	1	1	1
630	160	101	51	15	7	7	1	0	1	5
631	130	83	48	9	12.7	5	1	0	1	5
632	185	66	44	6	9	3	1	1	0	3
633	120	84	45	11	7	10	1	0	1	5
634	360	103	80	14	3	3	1	1	1	1
635	99	63	43	9	13.5	7	0	0	1	1
636	120	60	37	8	12	8	0	0	1	1
637	118	63	37	8	14.5	5	1	0	1	3
638	130	96	57	9	7.5	5	0	1	1	8
639	113	76	46	10	13	7	1	0	1	5
640	107	67	41	9	12.5	10	1	0	1	2
641	134	69	47	8	5	10	1	0	1	4
642	110	86	53	9	10.5	5	0	0	0	3
643	170	100	57	10	13.5	15	0	0	0	6
644	100	77	41	10	12.7	10	1	0	1	5
645	90	61	45	6	13.5	15	1	0	1	6
646	108	75	50	10	12	3	1	0	1	5
647	105	83	48	9	13	15	1	0	1	5
648	88	51	34	6	14.5	10	1	0	1	3
649	80	60	44	6	13.5	5	1	0	1	6
650	130	75	48	13	12.7	5	0	0	1	5
651	170	53	33	9	3	10	1	1	1	1
652	220	83	53	9	4.5	5	1	0	0	8
653	104	72	46	11	12.5	10	0	1	0	3
654	105	68	46	8	15.5	10	1	0	0	1
655	165	90	58	11	4.5	7	0	0	1	8
656	130	77	53	9	7	8	1	1	1	4
657	167	74	43	10	14.5	5	1	0	1	2
658	114	75	54	7	12	7	1	1	1	7
659	113	54	34	11	3	10	1	0	1	1
660	145	76	48	9	13.5	10	0	0	1	6
661	112	63	45	7	13.5	7	0	0	1	1
662	106	83	44	10	12	10	0	0	1	7
663	105	77	54	8	10.5	12	1	0	0	7
664	107	68	46	8	10.5	10	0	0	1	3
665	130	81	56	9	6	7	1	1	0	6
666	94	65	40	8	14.5	15	1	0	1	2
667	105	78	44	10	13	15	1	0	1	5
668	240	105	55	23	10	5	1	0	1	6
669	150	97	63	11	10	7	1	0	1	6
670	87	63	42	7	13.5	7	1	0	1	6
671	116	77	45	10	6	7	0	0	1	6
672	105	66	44	7	13.5	10	1	0	1	6
673	150	76	45	10	7	10	0	0	1	4
674	95	60	44	6	12	10	1	0	0	8
675	82	59	45	6	10	7	1	1	0	6
676	210	94	59	11	12.7	2	1	1	1	5
677	150	85	61	8	12	7	1	1	1	8
678	179	77	43	10	8	10	1	0	1	1
679	75	55	36	6	14.5	7	0	1	0	2
680	185	108	65	12	13.5	10	0	0	1	6
681	120	76	51	9	13.5	5	1	0	1	6
682	100	79	51	10	13.5	10	0	0	1	6
683	158	78	49	14	9	4	1	1	1	4
684	155	74	43	10	9	5	0	0	1	4
685	139	68	46	8	9	5	1	0	1	4
686	140	78	45	10	12	2	1	0	1	7
687	115	76	54	9	13	5	1	0	0	5
688	94	64	43	9	12	7	1	0	1	5
689	180	72	45	10	3	3	1	1	1	1
690	340	125	70	18	7	10	0	1	1	4
691	100	78	44	9	13.5	20	0	0	1	1
692	77	60	44	6	13	15	1	0	0	5
693	102	74	43	10	17	12	0	0	1	2
694	135	68	32	13	3	10	1	1	1	1
695	108	58	41	6	9	3	1	1	1	4
696	134	83	44	10	13	10	1	0	0	5
697	103	76	45	10	13	5	0	0	1	5
698	135	82	48	9	10.5	10	0	0	0	3
699	85	57	42	6	7.5	15	1	1	1	8
700	78	52	34	6	13	15	1	0	1	5
701	113	78	44	10	12	10	1	1	0	5
702	140	68	44	10	5	7	1	0	1	4
703	125	78	53	8	8	10	1	0	0	1
704	86	55	40	5	7	2	0	0	1	4
705	130	80	38	11	12.7	10	1	0	1	5
706	117	77	44	10	17	3	1	0	0	2
707	135	75	46	10	11	10	1	0	1	5
708	120	80	45	13	12	10	1	0	1	5
709	116	76	45	10	7	10	1	0	1	5
710	131	74	42	10	13.5	10	1	0	1	1
711	230	92	60	14	9	10	1	0	0	3
712	76	53	39	6	12	10	1	0	1	5
713	108	78	46	10	12.7	10	1	0	1	5
714	140	74	53	8	11	5	1	1	1	8
715	110	60	41	6	12	10	1	0	1	8
716	90	60	43	6	12	5	0	0	1	7
717	136	78	48	9	12.5	15	1	0	1	2
718	126	84	56	9	3.5	4	1	1	1	7
719	120	65	44	8	9	5	1	0	1	4
720	93	63	40	8	11	12	1	0	1	5
721	260	110	56	15	12.5	3	1	1	1	2
722	152	95	62	10	12.7	5	1	0	1	5
723	185	80	45	13	12	5	0	0	1	8
724	145	75	46	10	7	10	0	0	1	4
725	77	61	45	6	13.5	5	0	0	0	6
726	106	68	47	8	13.5	7	0	0	1	6
727	102	76	46	10	12	15	0	0	0	7
728	128	78	54	9	6.5	5	1	0	1	5
729	75	51	36	6	17	5	0	0	1	2
730	89	60	44	6	10.5	3	1	0	1	7
731	135	81	53	8	11.5	4	1	1	1	6
732	90	55	37	6	7.5	7	0	0	1	8
733	135	76	44	9	5	7	1	1	1	4
734	108	73	51	8	12.5	15	0	1	1	3
735	114	79	45	13	14.5	7	0	0	1	3
736	95	64	39	8	12.5	10	1	0	0	2
737	230	109	58	18	12.7	2	1	0	1	5
738	128	72	53	8	3	10	1	1	0	1
739	168	104	60	16	12	10	1	0	1	1
740	85	57	37	5	12	7	0	0	1	8
741	170	80	50	8	9	15	0	1	1	3
742	87	56	35	6	12	7	1	0	1	8
743	190	87	62	10	4.5	5	1	1	1	8
744	154	72	42	11	6.5	5	1	0	1	2
745	129	69	42	9	14.5	15	1	0	1	3
746	80	61	44	7	12	5	0	0	1	7
747	89	60	45	6	13.5	10	0	0	1	1
748	112	77	45	10	10	7	0	0	1	6
749	160	93	57	12	12.7	5	1	0	1	5
750	118	83	44	10	12.7	10	1	0	1	5
751	115	75	47	10	13	10	1	0	1	5
752	165	84	57	9	10.5	7	1	0	0	3
753	90	57	40	5	13.5	10	1	1	1	1
754	160	82	54	8	9	7	1	1	1	4
755	97	55	35	6	9	7	0	0	1	4
756	165	74	41	9	6.5	5	1	1	1	2
757	162	90	53	13	10	7	1	1	1	6
758	212	119	70	17	9	5	0	1	1	4
759	190	72	46	10	9	5	1	1	1	4
760	120	80	52	14	12	7	1	0	1	5
761	94	61	38	9	12	5	0	0	1	7
762	145	73	43	11	9	10	0	0	1	4
763	73	53	34	6	7.5	3	1	1	0	3
764	90	60	40	7	13.5	9	1	0	1	6
765	79	54	35	5	12.5	10	0	1	1	3
766	82	61	40	6	13.5	10	0	0	1	1
767	140	83	53	12	12	15	0	0	1	7
768	105	77	45	10	14.5	10	0	0	1	3
769	97	56	43	5	6.5	7	1	1	1	5
770	280	145	66	16	12.7	3	1	0	0	5
771	92	59	41	6	11	10	1	1	1	8
772	80	58	38	7	13.5	5	0	0	1	6
773	110	65	45	7	13.5	7	1	0	1	1
774	160	98	52	12	10	7	1	0	1	6
775	120	77	45	10	13.5	5	0	0	1	6
776	165	100	54	12	6.5	3	1	0	1	5
777	147	111	65	16	14.5	6	0	1	1	3
778	96	60	45	6	15.5	5	1	0	1	1
779	75	65	45	7	14.5	10	0	0	1	3
780	125	90	54	8	12	15	0	0	1	7
781	125	80	47	10	12	15	0	0	1	7
782	87	64	45	9	15.5	12	1	0	0	1
783	115	76	45	11	12	5	1	0	1	1
784	200	100	66	21	9	15	1	1	1	3
785	115	84	53	12	12.7	15	1	0	1	5
786	120	64	46	6	7	3	1	0	1	4
787	107	64	44	9	15.5	5	1	0	1	1
788	112	60	39	6	3.5	3	1	0	1	7
789	94	60	44	6	15.5	5	1	0	1	1
790	115	64	45	7	13.5	5	1	0	1	1
791	110	66	45	10	11.5	10	1	0	1	6
792	107	75	53	9	11.5	10	1	1	0	6
793	77	60	43	6	12	6	0	0	1	7
794	96	65	45	7	12.5	15	1	1	1	2
795	118	78	46	10	13.5	10	1	0	1	6
796	95	66	44	10	14.5	7	0	0	1	3
797	123	77	45	10	17	7	1	0	1	2
798	110	70	40	6	12	2	1	1	0	8
799	162	90	61	10	10.5	3	1	1	1	3
800	85	58	45	6	10	3	1	0	1	6
801	113	70	50	9	6	10	1	0	0	6
802	125	80	45	13	12	5	0	1	1	5
803	78	52	35	6	12	10	1	0	1	7
804	109	75	45	10	13.5	5	1	0	0	1
805	230	110	52	17	11.5	5	1	1	1	6
806	85	59	42	6	10.5	7	0	0	0	3
807	125	76	45	10	13.5	10	0	0	1	6
808	130	73	41	10	12	5	0	0	1	7
809	80	58	38	6	7	10	1	0	1	5
810	200	102	73	10	9	7	1	0	1	3
811	73	51	34	6	12	7	1	0	0	5
812	94	61	44	6	12.5	3	1	0	1	2
813	134	84	52	8	12	7	1	1	1	8
814	140	76	44	10	12.5	5	1	0	1	2
815	108	66	44	9	12	5	1	0	1	7
816	94	65	45	7	17	10	1	0	0	2
817	130	56	40	5	3.5	10	1	1	0	7
818	92	66	44	9	11.5	7	1	0	0	6
819	155	85	47	11	12.7	5	1	0	1	5
820	108	81	48	8	13	15	0	0	1	5
821	108	66	43	7	17	2	1	0	1	4
822	135	76	50	8	10.5	15	1	0	1	3
823	135	77	50	8	10.5	10	0	1	1	3
824	100	57	43	5	11.5	10	1	1	1	6
825	170	75	48	7	7.5	3	1	1	1	3
826	87	61	43	6	12	15	1	0	1	7
827	94	62	38	8	17	3	1	0	1	4
828	115	61	42	5	3.5	10	1	1	0	7
829	223	63	38	7	7.5	3	1	1	1	3
830	160	80	51	8	3	10	1	1	1	1
831	138	66	44	9	4.5	2	1	0	1	8
832	125	77	40	11	13	10	0	1	1	5
833	120	68	47	8	12.5	5	0	0	0	3
834	85	60	43	10	13	7	0	0	0	5
835	113	91	52	9	6.5	10	1	1	1	2
836	115	69	46	6	12	5	1	1	1	8
837	95	75	43	11	14.5	10	0	0	1	3
838	125	83	48	9	12	3	1	0	1	5
839	109	66	46	8	15.5	5	1	0	1	1
840	167	113	64	13	14.5	5	0	1	1	3
841	190	77	54	9	9	5	0	1	1	3
842	158	88	61	9	10.5	15	1	1	1	3
843	151	102	70	9	10.5	12	1	1	1	7
844	160	77	48	8	12	7	1	1	0	8
845	87	56	37	6	7	7	0	0	1	4
846	87	58	45	5	10	3	1	0	1	6
847	95	76	45	10	14.5	10	0	0	1	3
848	170	102	58	12	13	5	1	0	1	5
849	110	75	53	10	10.5	15	1	0	0	7
850	180	83	53	8	10.5	5	1	0	1	3
851	178	80	54	9	3	5	1	1	1	1
852	92	60	44	6	12.5	15	1	0	0	2
853	149	95	57	8	10.5	15	0	1	1	3
854	95	61	43	6	14.5	5	1	0	1	2
855	130	67	46	7	9	5	1	1	1	4
856	92	63	38	8	12	10	0	0	1	8
857	96	60	45	6	12	10	1	0	1	7
858	93	59	38	6	13.5	7	1	0	0	6
859	103	64	40	8	10.5	10	0	0	0	3
860	112	79	47	10	17	10	1	0	1	4
861	94	63	38	8	17	12	1	0	0	2
862	156	70	48	7	9	2	1	1	1	4
863	82	54	35	6	9	10	1	1	0	4
864	185	78	53	8	7.5	15	1	1	1	8
865	98	60	44	6	14.5	15	1	0	1	3
866	113	80	48	8	12	10	1	0	1	5
867	175	83	55	9	3	15	1	1	1	1
868	99	65	44	7	10.5	5	1	0	1	3
869	87	63	45	6	10	10	1	0	0	6
870	73	51	34	6	13.5	10	1	0	1	6
871	220	148	85	14	14.5	7	0	1	1	3
872	185	76	43	10	8	10	1	0	1	1
873	150	85	57	10	9	7	1	1	0	3
874	115	75	42	8	12	15	0	0	1	7
875	155	72	52	7	3	5	0	0	1	1
876	125	83	48	9	12	3	1	0	1	5
877	113	85	53	12	12.7	10	0	0	0	5
878	105	66	46	11	12	7	1	0	0	5
879	130	72	44	10	6	5	1	0	0	6
880	250	100	50	15	12.7	5	1	0	1	5
881	97	76	45	10	12	10	1	1	1	5
882	165	69	47	7	4.5	5	0	1	1	8
883	161	108	60	13	14.5	10	0	1	1	3
884	110	77	46	9	15.5	3	1	0	1	1
885	145	90	52	9	12	15	1	1	0	7
886	470	146	86	16	14.5	5	1	1	1	3
887	113	75	45	10	13	10	1	0	1	5
888	260	107	58	14	13	1	1	0	1	5
889	200	71	46	8	4.5	5	1	1	0	8
890	100	75	45	10	13	5	0	0	1	5
891	170	82	52	15	5	1	1	1	1	4
892	163	115	66	15	13.5	10	0	0	1	1
893	136	74	45	10	10	15	1	0	0	6
894	89	59	38	6	12	15	1	0	1	7
895	125	76	45	10	15.5	10	0	0	1	1
896	260	110	71	18	4.5	7	1	1	1	8
897	123	66	43	8	10	5	1	1	1	6
898	115	80	48	12	12.7	5	0	0	1	5
899	129	66	44	9	9	15	1	0	0	4
900	104	72	48	9	10.5	10	1	0	0	3
901	89	79	52	10	15.5	10	1	0	1	1
902	145	71	43	8	9	5	1	1	0	3
903	100	75	45	10	12	10	1	1	1	5
904	135	72	45	10	14.5	2	1	0	1	2
905	93	59	44	5	14.5	10	1	0	1	3
906	87	58	38	6	12	15	1	0	0	8
907	138	66	44	14	4.5	2	1	0	1	8
908	108	66	42	6	3.5	3	1	1	0	7
909	85	61	45	6	13.5	15	1	0	1	6
910	109	79	45	13	14.5	5	0	0	1	3
911	180	81	53	9	8	7	1	1	0	1
912	80	56	37	6	12	10	1	1	0	8
913	185	75	48	10	7	3	1	1	1	4
914	110	71	43	10	14.5	20	0	0	1	3
915	87	59	44	6	13.5	10	1	0	1	1
916	108	64	43	9	3.5	10	0	0	0	7
917	112	74	44	11	12.7	10	1	0	1	5
918	103	70	44	10	15.5	7	1	0	1	1
919	128	83	44	10	7	2	1	0	1	5
920	107	67	46	8	13.5	7	0	0	1	1
921	120	75	45	10	14.5	10	0	0	1	3
922	83	55	38	7	11	10	1	1	0	8
923	100	60	39	9	15.5	10	1	0	1	1
924	127	79	46	10	17	5	1	0	1	2
925	80	59	39	6	8	15	0	0	1	1
926	210	71	45	15	9	1	1	1	1	4
927	74	51	35	6	13.5	10	1	0	0	6
928	155	77	50	8	8	5	0	1	1	1
929	138	69	45	9	4.5	5	1	0	1	8
930	130	60	42	7	9	10	1	1	0	3
931	144	66	45	8	9	7	1	1	1	3
932	102	58	41	6	11	5	1	1	1	8
933	89	58	42	6	9	10	0	0	0	4
934	116	85	45	10	12	15	0	0	1	7
935	105	78	54	9	11	10	1	1	1	5
936	89	64	39	8	14.5	5	0	0	0	2
937	128	85	52	10	14.5	10	0	0	0	3
938	150	84	48	10	13.5	10	0	0	0	6
939	120	68	45	8	10.5	5	0	0	1	3
940	105	68	41	8	17	5	1	0	0	2
941	165	74	46	10	5	10	1	0	1	4
942	110	76	45	10	14.5	10	0	0	1	3
943	75	51	34	6	14.5	7	0	0	1	3
944	92	60	45	6	15.5	5	1	0	1	1
945	129	99	55	11	10.5	15	1	0	0	3
946	105	55	40	6	9	7	0	0	1	4
947	80	50	34	6	11.5	10	1	0	1	6
948	132	78	46	10	12.5	12	1	0	0	2
949	105	75	42	8	13.5	10	0	0	1	6
950	92	68	44	10	10.5	10	0	0	1	7
951	101	65	44	8	11.5	7	1	0	1	6
952	81	54	36	6	10	10	1	0	1	6
953	140	68	47	8	9	5	1	1	1	4
954	140	82	61	6	3.5	7	1	1	1	7
955	118	74	52	9	7.5	7	0	1	1	8
956	127	82	50	10	10.5	7	0	0	0	3
957	112	74	52	7	11	5	1	1	0	8
958	160	80	52	9	7.5	7	1	1	0	3
959	130	78	46	11	13.5	10	1	0	1	1
960	125	77	44	10	14.5	7	1	0	1	2
961	82	70	40	8	17	7	0	0	1	2
962	158	78	51	8	9	7	1	1	1	4
963	140	75	40	11	13	5	0	0	1	5
964	270	105	74	10	5	1	1	1	1	4
965	110	67	45	8	13.5	5	0	0	1	1
966	120	64	43	7	9	5	0	0	1	4
967	730	134	102	10	9	10	1	1	1	4
968	100	77	45	8	12	15	0	0	0	7
969	77	59	38	6	12	10	0	1	0	7
970	130	79	44	10	13.5	10	0	0	1	6
971	150	71	44	9	8	5	1	1	1	1
972	176	104	55	11	9	5	1	0	1	3
973	87	60	43	6	12	5	0	0	1	7
974	79	57	43	6	10.5	10	0	1	1	3
975	156	79	54	8	9	10	1	1	1	3
976	185	79	47	10	3	3	1	1	1	1
977	102	65	44	7	15.5	5	1	0	1	1
978	200	88	60	7	3	5	1	1	1	1
979	90	66	43	9	15.5	10	1	0	0	1
980	310	100	62	17	4.5	15	1	0	1	8
981	155	60	40	8	7.5	5	1	1	1	3
982	130	70	45	9	10.5	15	1	0	1	3
983	122	75	46	11	13.5	15	1	0	1	6
984	210	79	53	8	7	5	1	1	1	4
985	83	52	34	6	14.5	10	0	0	0	3
986	90	63	44	6	17	5	1	0	1	2
987	95	63	39	8	17	1	1	0	1	2
988	78	56	39	6	12	5	1	1	0	7
989	115	74	45	10	12.7	15	1	0	1	5
990	110	67	41	9	13.5	10	0	0	0	6
991	86	58	38	6	11.5	7	1	0	1	6
992	107	57	41	6	12.5	10	1	1	1	3
993	80	60	45	6	13.5	5	0	0	1	6
994	93	58	42	6	12	5	0	1	0	7
995	98	64	43	7	12	15	1	0	1	7
996	230	80	46	13	5	4	1	1	1	4
997	95	72	43	12	12.7	7	0	0	0	5
998	170	106	64	13	12	15	1	0	1	8
999	170	79	50	9	4.5	2	1	0	0	8
1000	140	68	46	7	9	10	1	0	1	4
1001	200	100	60	12	7	7	0	0	1	4
1002	82	60	41	6	11.5	5	1	1	1	6
1003	130	76	46	11	13	5	0	0	1	5
1004	87	60	43	6	13.5	10	0	0	1	6
1005	99	60	44	6	12.5	10	1	0	1	2
1006	100	72	42	10	14.5	20	0	0	0	3
1007	93	59	39	6	15.5	10	1	0	1	1
1008	83	56	37	6	10	15	1	0	1	6
1009	138	79	47	10	7	10	0	0	1	4
1010	133	85	50	9	12	10	0	0	1	7
1011	135	79	45	13	15.5	7	1	0	1	1
1012	150	76	50	8	9	7	1	1	1	4
1013	170	80	46	10	10	5	1	0	0	6
1014	110	57	40	5	7.5	7	1	1	0	3
1015	105	64	40	7	7	10	1	0	0	4
1016	110	71	44	8	15.5	7	0	0	1	1
1017	95	65	46	8	13.5	7	0	0	0	6
1018	115	57	38	8	12	5	1	0	1	7
1019	150	78	46	10	9	10	0	0	1	4
1020	190	73	41	11	3.5	1	1	1	1	7
1021	75	55	39	6	10	10	1	0	0	6
1022	125	78	45	10	12	7	0	0	1	7
1023	114	74	44	11	12.7	10	1	0	1	5
1024	97	68	46	8	12	5	1	0	1	5
1025	95	72	44	10	12.7	10	1	0	0	5
1026	130	79	45	10	12	5	1	0	1	5
1027	94	64	45	7	14.5	3	1	0	1	2
1028	160	80	54	9	9	10	1	1	1	3
1029	180	91	58	8	11	2	0	1	1	8
1030	100	65	39	8	14.5	10	0	0	1	2
1031	105	65	40	7	17	10	1	0	0	2
1032	110	75	45	10	12.7	10	1	0	1	5
1033	108	69	36	9	12.5	5	0	0	0	3
1034	92	57	40	6	12.5	2	1	1	1	3
1035	92	61	44	6	12.5	5	1	0	1	2
1036	181	86	51	11	10.5	10	0	0	0	3
