contest_login	fraud	k1a	k1b	k1c	k1d	k1e	k1f	k1	k2a	k2b	k2c	k2d	k2e	k2f	k2	k3a	k3b	k3c	k3
eds_python_2020_193	0.0	10.0	10.0	18.0	30.0	20.0	8.0	9.6	20.0		0.0	20.0	20.0	20.0	8.0	0.0	0.0	0.0	0.0
eds_python_2020_194								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_195	0.0	10.0	8.0				30.0	4.8							0.0	0.0	40.0	0.0	4.0
eds_python_2020_196	0.0	9.0	10.0	6.0		4.0	12.0	4.1		0.0		0.0	0.0		0.0	25.0	0.0	15.0	4.0
eds_python_2020_197	0.0	10.0	10.0	9.0		4.0	12.0	4.5	20.0	10.0	0.0		0.0		3.0	35.0	55.0	0.0	9.0
eds_python_2020_198	0.0	10.0	10.0	18.0		20.0	14.0	7.2		10.0	10.0	20.0	18.0		5.8	0.0	0.0	0.0	0.0
eds_python_2020_199	2.0	10.0		12.0	30.0			5.2	0.0	5.0	0.0	20.0	0.0	0.0	2.5	15.0	0.0	5.0	2.0
eds_python_2020_200	2.0	10.0	10.0	20.0	30.0	20.0	30.0	12.0		5.0		20.0	20.0	0.0	4.5	7.0	0.0	5.0	1.2
eds_python_2020_201	0.0			15.0	0.0	14.0	12.0	4.1				20.0	20.0	20.0	6.0	0.0	0.0	0.0	0.0
eds_python_2020_202	3.0	10.0	0.0	20.0			0.0	3.0				20.0	20.0	0.0	4.0	20.0	35.0	5.0	6.0
eds_python_2020_203	6.0	10.0	10.0	10.0		0.0	12.0	4.2				17.0	15.0		3.2	0.0	0.0	0.0	0.0
eds_python_2020_204	2.0				30.0			3.0				20.0	0.0		2.0	0.0	0.0	0.0	0.0
eds_python_2020_205	6.0	10.0	10.0	20.0			30.0	7.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_206	0.0	10.0	10.0	20.0	30.0	16.0	12.0	9.8				20.0		20.0	4.0	0.0	0.0	0.0	0.0
eds_python_2020_207	0.0	2.0	10.0	15.0	30.0	4.0	12.0	7.3							0.0	0.0	0.0	0.0	0.0
eds_python_2020_208	1.0	10.0	10.0	10.0		10.0	12.0	5.2				20.0	20.0	10.0	5.0	0.0	0.0	0.0	0.0
eds_python_2020_209	1.0	10.0	10.0	7.0	30.0	4.0	26.0	8.7	20.0	0.0		20.0	20.0		6.0	0.0	0.0	0.0	0.0
eds_python_2020_210	0.0		10.0	20.0	30.0	16.0	12.0	8.8	20.0	0.0		20.0	20.0	20.0	8.0	0.0	0.0	0.0	0.0
eds_python_2020_211	0.0	10.0	10.0	20.0		10.0	12.0	6.2			14.0	10.0	10.0		3.4	30.0	40.0	18.0	8.8
eds_python_2020_212	3.0	10.0	10.0	20.0	17.0	20.0	30.0	10.7				20.0	20.0	15.0	5.5	0.0	0.0	0.0	0.0
eds_python_2020_213	6.0	10.0	10.0	20.0	30.0	16.0	12.0	9.8		0.0			20.0		2.0	35.0	40.0	30.0	10.5
eds_python_2020_214	0.0	10.0	10.0	18.0	30.0	6.0	20.0	9.4				20.0	20.0	20.0	6.0	0.0	0.0	0.0	0.0
eds_python_2020_215	0.0	0.0	10.0	10.0				2.0	20.0	10.0	20.0				5.0	0.0	0.0	0.0	0.0
eds_python_2020_216								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_217	2.0	10.0		0.0	0.0		8.0	1.8	20.0	5.0		20.0		10.0	5.5	29.0	35.0	0.0	6.4
eds_python_2020_218	1.0		0.0	15.0	30.0	20.0	30.0	9.5	20.0			20.0	20.0		6.0	0.0	0.0	0.0	0.0
eds_python_2020_219	0.0	10.0	10.0	20.0				4.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_220	0.0	10.0	10.0	20.0	30.0	16.0	14.0	10.0	20.0	10.0		20.0	20.0	20.0	9.0	35.0	40.0	5.0	8.0
eds_python_2020_221								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_222	1.0		10.0	20.0	30.0		12.0	7.2				20.0	0.0	10.0	3.0	0.0	0.0	0.0	0.0
eds_python_2020_223	5.0		10.0	20.0	0.0	6.0	30.0	6.6			7.0	20.0	20.0	20.0	6.7	35.0	8.0	17.0	6.0
eds_python_2020_224	1.0		10.0	20.0		16.0	8.0	5.4				20.0	20.0		4.0	35.0	0.0	5.0	4.0
eds_python_2020_225	1.0		10.0	7.0				1.7	20.0	0.0	7.0	20.0			4.7	13.0	40.0	20.0	7.3
eds_python_2020_226	1.0		0.0	0.0	30.0	20.0	30.0	8.0		10.0	0.0	20.0	20.0	20.0	7.0	0.0	0.0	0.0	0.0
eds_python_2020_227	0.0	10.0	0.0	20.0	30.0	20.0	12.0	9.7	20.0	0.0		20.0	20.0	20.0	8.0	35.0	30.0	15.0	8.0
eds_python_2020_228	0.0	10.0	10.0	10.0	25.0		14.0	6.9		0.0		20.0	20.0	15.0	5.5	35.0	20.0	20.0	7.5
eds_python_2020_229	1.0	7.0	10.0	12.0			6.0	3.5	0.0			20.0	20.0		4.0	35.0	20.0	0.0	5.5
eds_python_2020_230		10.0						1.0	20.0			20.0	20.0	20.0	8.0	25.0	0.0	0.0	2.5
eds_python_2020_231	3.0	1.0	7.0	12.0	25.0	4.0	12.0	6.1	20.0			20.0	0.0		4.0	27.0	30.0	5.0	6.2
eds_python_2020_232	2.0	10.0	10.0	20.0		4.0		4.4							0.0	30.0	30.0	5.0	6.5
eds_python_2020_233		10.0	10.0	20.0		20.0	30.0	9.0				20.0	20.0	20.0	6.0	0.0	0.0	0.0	0.0
eds_python_2020_234								0.0	20.0	5.0		20.0	20.0	20.0	8.5	0.0	0.0	0.0	0.0
eds_python_2020_235	1.0	2.0	10.0	6.0			12.0	3.0							0.0	25.0	0.0	0.0	2.5
eds_python_2020_236	0.0	10.0	10.0	20.0	30.0	16.0	12.0	9.8	20.0		0.0	20.0	20.0		6.0	35.0	20.0	30.0	8.5
eds_python_2020_237	0.0	10.0	10.0	12.0		4.0	12.0	4.8		0.0		0.0			0.0	20.0	20.0	0.0	4.0
eds_python_2020_238	1.0	10.0	10.0	20.0	30.0	20.0	30.0	12.0		10.0		20.0	20.0	20.0	7.0	25.0	3.0	5.0	3.3
eds_python_2020_239	5.0	10.0	8.0	12.0	30.0	0.0		6.0				17.0			1.7	15.0	20.0	5.0	4.0
eds_python_2020_240	1.0		10.0	12.0		2.0	30.0	5.4				20.0	20.0	20.0	6.0	20.0	0.0	5.0	2.5
eds_python_2020_241	1.0	9.0	5.0				0.0	1.4	20.0		20.0	20.0	20.0		8.0	15.0	0.0	0.0	1.5
eds_python_2020_242	2.0	10.0	10.0	20.0	0.0	18.0	12.0	7.0	20.0		0.0	20.0	20.0		6.0	35.0	0.0	35.0	7.0
eds_python_2020_243	0.0	2.0	10.0	20.0		0.0	0.0	3.2			7.0	20.0	20.0		4.7	35.0	36.0	13.0	8.4
eds_python_2020_244	1.0		10.0	18.0			14.0	4.2		5.0		20.0	20.0	20.0	6.5	25.0	0.0	5.0	3.0
eds_python_2020_245	2.0	10.0	10.0	20.0		4.0	0.0	4.4		10.0		20.0	20.0	20.0	7.0	0.0	0.0	0.0	0.0
eds_python_2020_246	1.0		10.0	9.0	0.0		30.0	4.9				20.0	20.0	20.0	6.0	35.0	0.0	5.0	4.0
eds_python_2020_247	2.0		10.0	0.0			12.0	2.2		0.0		0.0	0.0	5.0	0.5	15.0	2.0	4.0	2.1
eds_python_2020_248	6.0	2.0	10.0	20.0	4.0	12.0	12.0	6.0				20.0	20.0		4.0	25.0	30.0	3.0	5.8
eds_python_2020_249	0.0	10.0	10.0	20.0		10.0	14.0	6.4				20.0	20.0	20.0	6.0	30.0	30.0	4.0	6.4
eds_python_2020_250	2.0	1.0	10.0	20.0	30.0	16.0	12.0	8.9							0.0				0.0
eds_python_2020_251	6.0	10.0	10.0				26.0	4.6		10.0		20.0	20.0	20.0	7.0				0.0
eds_python_2020_252	2.0	10.0	10.0	20.0	30.0		0.0	7.0	20.0			20.0	20.0		6.0	5.0		5.0	1.0
eds_python_2020_253								0.0							0.0				0.0
eds_python_2020_254	1.0	10.0	10.0	9.0		16.0	12.0	5.7		5.0		10.0	15.0		3.0	26.0	48.0	9.0	8.3
eds_python_2020_255	6.0	10.0	10.0	13.0	25.0		26.0	8.4	20.0	5.0		20.0	20.0		6.5				0.0
eds_python_2020_256	4.0		10.0	0.0	30.0	16.0	0.0	5.6				20.0	20.0	20.0	6.0	13.0	35.0	5.0	5.3
eds_python_2020_257	1.0	1.0	10.0	20.0		8.0	14.0	5.3				20.0	20.0	20.0	6.0				0.0
eds_python_2020_258	4.0	10.0	10.0	20.0		16.0	12.0	6.8			0.0		20.0		2.0				0.0
eds_python_2020_259	1.0	10.0	10.0	12.0	30.0	20.0	30.0	11.2		10.0		20.0	20.0	20.0	7.0	26.0	2.0	7.0	3.5
eds_python_2020_260	0.0	10.0	10.0	20.0		10.0	12.0	6.2			20.0	20.0	20.0		6.0	35.0	40.0		7.5
eds_python_2020_261	2.0	0.0	10.0	0.0		0.0		1.0				0.0			0.0	5.0	15.0	9.0	2.9
eds_python_2020_262	0.0	1.0	10.0	20.0		16.0	12.0	5.9		0.0		20.0	20.0	0.0	4.0		22.0	5.0	2.7
eds_python_2020_263	1.0	10.0	10.0		0.0	2.0	0.0	2.2			0.0	20.0	20.0	15.0	5.5	25.0	20.0		4.5
eds_python_2020_264	0.0	0.0	10.0	16.0		2.0	16.0	4.4				20.0	20.0	20.0	6.0				0.0
eds_python_2020_265	1.0	10.0	10.0	20.0	0.0	0.0	12.0	5.2		0.0	0.0	20.0	20.0	15.0	5.5	35.0			3.5
eds_python_2020_266	0.0	1.0	10.0	7.0		4.0		2.2				20.0	0.0		2.0				0.0
eds_python_2020_267	2.0	0.0	10.0	16.0	0.0			2.6	20.0	10.0	13.0	20.0	20.0	20.0	10.3	35.0	35.0	5.0	7.5
eds_python_2020_268	2.0	10.0	10.0	20.0		20.0	12.0	7.2	20.0	0.0		20.0	20.0	20.0	8.0				0.0
eds_python_2020_269	0.0	0.0						0.0	20.0		0.0				2.0				0.0
eds_python_2020_270	2.0		10.0	20.0		4.0	12.0	4.6							0.0				0.0
eds_python_2020_271	3.0	0.0	10.0	16.0	21.0	4.0	12.0	6.3	20.0	0.0		20.0	20.0	15.0	7.5	35.0	15.0	1.0	5.1
eds_python_2020_272	2.0	10.0	10.0	12.0		6.0	6.0	4.4		5.0		20.0	0.0		2.5	25.0	2.0	3.0	3.0
eds_python_2020_273	3.0	10.0	10.0	20.0	30.0	16.0	14.0	10.0		5.0		20.0	20.0	15.0	6.0	29.0	55.0	3.0	8.7
eds_python_2020_274	1.0	2.0	10.0	10.0		0.0		2.2	20.0	5.0	7.0	20.0	20.0	20.0	9.2	25.0		3.0	2.8
eds_python_2020_275	4.0			9.0	30.0		14.0	5.3		10.0		20.0	20.0	20.0	7.0	31.0	35.0		6.6
eds_python_2020_276								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_277								0.0		0.0					0.0	0.0	0.0	0.0	0.0
eds_python_2020_278	3.0	10.0	10.0	20.0	30.0		12.0	8.2	20.0			20.0	20.0	20.0	8.0	0.0	0.0	0.0	0.0
eds_python_2020_279	1.0							0.0		5.0					0.5	35.0	20.0	0.0	5.5
eds_python_2020_280	0.0	10.0	10.0	7.0		20.0	12.0	5.9				20.0	20.0	0.0	4.0	0.0	0.0	0.0	0.0
eds_python_2020_281	1.0	9.0	10.0	20.0	30.0	20.0		8.9							0.0	0.0	0.0	0.0	0.0
eds_python_2020_282	1.0	10.0	10.0	18.0	0.0	6.0	12.0	5.6	20.0		0.0	0.0			2.0	35.0	40.0	20.0	9.5
eds_python_2020_283								0.0				0.0			0.0	0.0	0.0	0.0	0.0
eds_python_2020_284	0.0	10.0	10.0	20.0	30.0	16.0	10.0	10.6		5.0					0.5	0.0	0.0	0.0	0.0
eds_python_2020_285	2.0	10.0	10.0	20.0		20.0	22.0	8.2		5.0		20.0	20.0	20.0	6.5	0.0	0.0	0.0	0.0
eds_python_2020_286	1.0	10.0	10.0	20.0		16.0	12.0	6.8							0.0	0.0	0.0	0.0	0.0
eds_python_2020_287	1.0	10.0	10.0	20.0	25.0	6.0	16.0	8.7	20.0	10.0	7.0	20.0	20.0	20.0	9.7	35.0	55.0	20.0	11.0
eds_python_2020_288	1.0	4.0	10.0	20.0		4.0	0.0	3.8		10.0					1.0	0.0	0.0	0.0	0.0
eds_python_2020_289	2.0	9.0	10.0	10.0			14.0	4.3		0.0		0.0	20.0		2.0	35.0	0.0	40.0	7.5
eds_python_2020_290	1.0	10.0	10.0	15.0	25.0	14.0	14.0	8.8	20.0			20.0	20.0	15.0	7.5	30.0	40.0	0.0	7.0
eds_python_2020_291	2.0	0.0	10.0	20.0		8.0	12.0	5.0	0.0			20.0	20.0		4.0	35.0	0.0	0.0	3.5
eds_python_2020_292	2.0	1.0	10.0	18.0	30.0	20.0	30.0	10.9	20.0	10.0	20.0	20.0			7.0	35.0	30.0	5.0	7.0
eds_python_2020_293	1.0	1.0	10.0	10.0	0.0	4.0	12.0	3.7		10.0			10.0		2.0	35.0	10.0	20.0	6.5
eds_python_2020_294								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_295	3.0	10.0	10.0	20.0	30.0			7.0		0.0					0.0	0.0	0.0	0.0	0.0
eds_python_2020_296	0.0		10.0	6.0				1.6		0.0		20.0	20.0	20.0	6.0	0.0	0.0	0.0	0.0
eds_python_2020_297	4.0		10.0	20.0	30.0	12.0	30.0	10.2				20.0	20.0	20.0	6.0	10.0	0.0	0.0	1.0
eds_python_2020_298	0.0	10.0	10.0	12.0	0.0		12.0	4.4	20.0	10.0	0.0	20.0	20.0	5.0	7.5	27.5	15.0	40.0	8.25
eds_python_2020_299	0.0		10.0	20.0		16.0	0.0	4.6	20.0			0.0			2.0	35.0	0.0	20.0	5.5
eds_python_2020_300	1.0	10.0	10.0	20.0	30.0	20.0	30.0	12.0			20.0	20.0	20.0	15.0	7.5	0.0	0.0	0.0	0.0
eds_python_2020_301	0.0	1.0	0.0	0.0		0.0		0.1	20.0	10.0		0.0		0.0	3.0	20.0	55.0	20.0	9.5
eds_python_2020_302	1.0	10.0	10.0	12.0		16.0	12.0	6.0	20.0	10.0	0.0				3.0	20.0	0.0	35.0	5.5
eds_python_2020_303	0.0		10.0	16.0		20.0	16.0	6.2				20.0	0.0	0.0	2.0	30.0	35.0	5.0	7.0
eds_python_2020_304	0.0		10.0	20.0	30.0	16.0	30.0	10.6							0.0	0.0	0.0	0.0	0.0
eds_python_2020_305	5.0	10.0	10.0	20.0	8.0		30.0	7.8	20.0	5.0		20.0	20.0		6.5	0.0	0.0	0.0	0.0
eds_python_2020_306	0.0	10.0	8.0	4.0			12.0	3.4				20.0	20.0	20.0	6.0	0.0	0.0	0.0	0.0
eds_python_2020_307	1.0	10.0	10.0	12.0	30.0			6.2				20.0	20.0	20.0	6.0	28.0	8.0	0.0	3.6
eds_python_2020_308	3.0	10.0	10.0	0.0			0.0	2.0	0.0			0.0	0.0		0.0	25.0	20.0	5.0	5.0
eds_python_2020_309	2.0	0.0	10.0	0.0	30.0		30.0	7.0				0.0			0.0	0.0	0.0	0.0	0.0
eds_python_2020_310	6.0	10.0	10.0	20.0	8.0	16.0		6.4	20.0	0.0		20.0	20.0		6.0	0.0	0.0	0.0	0.0
eds_python_2020_311	1.0	10.0	10.0	20.0	30.0	20.0	30.0	12.0	20.0	10.0		20.0	20.0	20.0	9.0	35.0	50.0	0.0	8.5
eds_python_2020_312	1.0	10.0	10.0	20.0		0.0	12.0	5.2	20.0	5.0	6.0	20.0	20.0	20.0	9.1	30.0	0.0	20.0	5.0
eds_python_2020_313	0.0	1.0	10.0	20.0	25.0	4.0	14.0	7.4		7.0		20.0	20.0	20.0	6.7	15.0	55.0	5.0	7.5
eds_python_2020_314	2.0	10.0	10.0	20.0		16.0	30.0	8.6				20.0	20.0	20.0	6.0	5.0	0.0	5.0	1.0
eds_python_2020_315	0.0		10.0	20.0		4.0		3.4				20.0			2.0	0.0	0.0	0.0	0.0
eds_python_2020_316	1.0	10.0	10.0	20.0		0.0	30.0	7.0				0.0	0.0		0.0	0.0	0.0	0.0	0.0
eds_python_2020_317	2.0	10.0	10.0	15.0			12.0	4.7							0.0	0.0	0.0	0.0	0.0
eds_python_2020_318	0.0	10.0	10.0	9.0		20.0		4.9		10.0					1.0	30.0	0.0	0.0	3.0
eds_python_2020_319	4.0	10.0	10.0	20.0			22.0	6.2	0.0	0.0		20.0	20.0	20.0	6.0	0.0	5.0	5.0	1.0
eds_python_2020_320	0.0	10.0	10.0	18.0		18.0	14.0	7.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_321	4.0		0.0	20.0		0.0	0.0	2.0				20.0	20.0		4.0	0.0	0.0	0.0	0.0
eds_python_2020_322	4.0	10.0	10.0	20.0			30.0	7.0		0.0			20.0		2.0	35.0	40.0	0.0	7.5
eds_python_2020_323	0.0	10.0	10.0	15.0	21.0	20.0	6.0	8.2	20.0		7.0	20.0	20.0	20.0	8.7	32.0	40.0	25.0	9.7
eds_python_2020_324	2.0	10.0	10.0	4.0	30.0		12.0	6.6	0.0	0.0					0.0	0.0	0.0	0.0	0.0
eds_python_2020_325	3.0	9.0	10.0	4.0		6.0	12.0	4.1	20.0	10.0		20.0	20.0		7.0	0.0	0.0	0.0	0.0
eds_python_2020_326	0.0	10.0	10.0	20.0	30.0	0.0	26.0	9.6	20.0	10.0		20.0	20.0	20.0	9.0	35.0	55.0	5.0	9.5
eds_python_2020_327	0.0	10.0	10.0	20.0		8.0	12.0	6.0		10.0		20.0	20.0	20.0	7.0	35.0	45.0	5.0	8.5
eds_python_2020_328	0.0	10.0	10.0	20.0	30.0	20.0	30.0	12.0		0.0		0.0			0.0	0.0	8.0	0.0	0.8
eds_python_2020_329	5.0	10.0	10.0	18.0	30.0		12.0	8.0	20.0	10.0		20.0	20.0	20.0	9.0	35.0	5.0	35.0	7.5
eds_python_2020_330	1.0	10.0		20.0	30.0			6.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_331	0.0	0.0	10.0	20.0	17.0	16.0		6.3	20.0	10.0		20.0	20.0	20.0	9.0	32.0	5.0	0.0	3.7
eds_python_2020_332	3.0	10.0	10.0	20.0			12.0	5.2	20.0	0.0		0.0	20.0	20.0	6.0	0.0	38.0	34.0	7.2
eds_python_2020_333	2.0	10.0	8.0	20.0			30.0	6.8				15.0	15.0	20.0	5.0	0.0	0.0	5.0	0.5
eds_python_2020_334	1.0		10.0	7.0	30.0		30.0	7.7				20.0			2.0	0.0	0.0	0.0	0.0
eds_python_2020_335	0.0	1.0	10.0	18.0		16.0	12.0	5.7	20.0		7.0	20.0	20.0		6.7	35.0	5.0	0.0	4.0
eds_python_2020_336	2.0	9.0	10.0	4.0			14.0	3.7				20.0	20.0	20.0	6.0	35.0	40.0	25.0	10.0
eds_python_2020_337	0.0			20.0		16.0		3.6							0.0	0.0	0.0	0.0	0.0
eds_python_2020_338	2.0	9.0	10.0	7.0				2.6		0.0		20.0	20.0	20.0	6.0	35.0	40.0	5.0	8.0
eds_python_2020_339	1.0	10.0	10.0	20.0		20.0	16.0	7.6				20.0	20.0	20.0	6.0	0.0	0.0	0.0	0.0
eds_python_2020_340	0.0	2.0	10.0	20.0			14.0	5.6	20.0	0.0	20.0	20.0	20.0	20.0	10.0	31.0	19.0	4.0	5.4
eds_python_2020_341	3.0		10.0	7.0		10.0	12.0	3.9	0.0	5.0		20.0	20.0	0.0	4.5	32.0	0.0	0.0	3.2
eds_python_2020_342	4.0		10.0	15.0		20.0	12.0	6.2	0.0	5.0		0.0			0.5	35.0	0.0	0.0	3.5
eds_python_2020_343	3.0	10.0	10.0	13.0	30.0			6.3		0.0		20.0	20.0		4.0	0.0	0.0	0.0	0.0
eds_python_2020_344	3.0	8.0	10.0	13.0	30.0			6.1		5.0		20.0	20.0		4.5	0.0	0.0	0.0	0.0
eds_python_2020_345	1.0	10.0	10.0	7.0			12.0	3.9		5.0		20.0	20.0	20.0	6.5	0.0	0.0	0.0	0.0
eds_python_2020_346	1.0	10.0	10.0	13.0		4.0	14.0	5.1	20.0		20.0	20.0	20.0	20.0	10.0	35.0	38.0	15.0	8.8
eds_python_2020_347	2.0	0.0	0.0	20.0	30.0	14.0	12.0	7.6				20.0	20.0	20.0	6.0	0.0	0.0	0.0	0.0
eds_python_2020_348	5.0	10.0	0.0	18.0	30.0	20.0	14.0	9.2				20.0	20.0	20.0	6.0	35.0	0.0	0.0	3.5
eds_python_2020_349	3.0	9.0	10.0	7.0		4.0	12.0	4.2				20.0	20.0	20.0	6.0	15.0	0.0	5.0	2.0
eds_python_2020_350	3.0	1.0	10.0	12.0				2.3	20.0	5.0		20.0	20.0	20.0	8.5	0.0	0.0	0.0	0.0
eds_python_2020_351	1.0	10.0	10.0	10.0	0.0	12.0	12.0	5.4		10.0		20.0	20.0	15.0	6.5	35.0	45.0	15.0	9.5
eds_python_2020_352	1.0	0.0	10.0	20.0		18.0	30.0	7.8					20.0		2.0	0.0	0.0	0.0	0.0
eds_python_2020_353	1.0	1.0	10.0	16.0		18.0	16.0	6.1							0.0	34.0	39.0	39.0	11.2
eds_python_2020_354								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_355	0.0	2.0	7.0	16.0	30.0			5.5	20.0	10.0		20.0	20.0	20.0	9.0	0.0	0.0	0.0	0.0
eds_python_2020_356	1.0	0.0	10.0	20.0	30.0	18.0	16.0	9.4	20.0	10.0		20.0	20.0	10.0	8.0	0.0	0.0	0.0	0.0
eds_python_2020_357	2.0	10.0	10.0	12.0	0.0		12.0	4.4	20.0	0.0		20.0	20.0	20.0	8.0	35.0	20.0	0.0	5.5
eds_python_2020_358	3.0	0.0	10.0	20.0	0.0			3.0		0.0		20.0		20.0	4.0	35.0	0.0	5.0	4.0
eds_python_2020_359	0.0	10.0	10.0	20.0		0.0	12.0	5.2				20.0	0.0	20.0	4.0	35.0	40.0	5.0	8.0
eds_python_2020_360	1.0		10.0	20.0	30.0	16.0	30.0	10.6	0.0	10.0		20.0	20.0	20.0	7.0	0.0	0.0	0.0	0.0
eds_python_2020_361	2.0	10.0	10.0	20.0	30.0	4.0		7.4	20.0	0.0	0.0	20.0			4.0	28.0	40.0	3.0	7.1
eds_python_2020_362	3.0			7.0				0.7							0.0	6.0	0.0	0.0	0.6
eds_python_2020_363	3.0		10.0	0.0		0.0	14.0	2.4	20.0	10.0	20.0	20.0	20.0	20.0	11.0	12.0	0.0	0.0	1.2
eds_python_2020_364	1.0	1.0	10.0	20.0		4.0	12.0	4.7		10.0		20.0	20.0	20.0	7.0	35.0	0.0	5.0	4.0
eds_python_2020_365	1.0		0.0	20.0	30.0	20.0	30.0	10.0						0.0	0.0	0.0	0.0	0.0	0.0
eds_python_2020_366	4.0	0.0	10.0	20.0	30.0	16.0	14.0	9.0		0.0		20.0	20.0	0.0	4.0	20.0	0.0	0.0	2.0
eds_python_2020_367	1.0	2.0	10.0	10.0		16.0	12.0	5.0	0.0	0.0		20.0	20.0	20.0	6.0	33.0	10.0	4.0	4.7
eds_python_2020_368	4.0	10.0	10.0	0.0				2.0				0.0	10.0		1.0	15.0	20.0	0.0	3.5
eds_python_2020_369	5.0	10.0			30.0		12.0	5.2				20.0		0.0	2.0	0.0	15.0	5.0	2.0
eds_python_2020_370								0.0							0.0	33.0	40.0	3.0	7.6
eds_python_2020_371	1.0		10.0			4.0		1.4	20.0						2.0	0.0	0.0	0.0	0.0
eds_python_2020_372								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_373	0.0	10.0	10.0	20.0		16.0	26.0	8.2		5.0		20.0	20.0		4.5	32.0	25.0	13.0	7.0
eds_python_2020_374	0.0	1.0	10.0	6.0		16.0	12.0	4.5		10.0		20.0	20.0	20.0	7.0	0.0	0.0	0.0	0.0
eds_python_2020_375	1.0	9.0	10.0	20.0	30.0		26.0	9.5							0.0	0.0	0.0	0.0	0.0
eds_python_2020_376	4.0	10.0	0.0	20.0				3.0		5.0					0.5	35.0	20.0	0.0	5.5
eds_python_2020_377	2.0		8.0					0.8	20.0			20.0	0.0		4.0	35.0	30.0	4.0	6.9
eds_python_2020_378	0.0	10.0	10.0	20.0	30.0	16.0		8.6				20.0	20.0	15.0	5.5	0.0	0.0	0.0	0.0
eds_python_2020_379	1.0	10.0	10.0	20.0		20.0	12.0	7.2	20.0	10.0	0.0	20.0	20.0	20.0	9.0	35.0	0.0	40.0	7.5
eds_python_2020_380	5.0	1.0	0.0	20.0	30.0	16.0	12.0	7.9		10.0		20.0	20.0	20.0	7.0	0.0	0.0	0.0	0.0
eds_python_2020_381	1.0		10.0	20.0		16.0	14.0	6.0		10.0		20.0	20.0	20.0	7.0	0.0	0.0	0.0	0.0
eds_python_2020_382	1.0	8.0	10.0	15.0		4.0	0.0	3.7				20.0	20.0		4.0	0.0	0.0	0.0	0.0
eds_python_2020_383	0.0	10.0	10.0	20.0	30.0	20.0	18.0	10.8				20.0	20.0	20.0	6.0	35.0	40.0	5.0	8.0
eds_python_2020_384	1.0	0.0	10.0					1.0		0.0	13.0	20.0	0.0		3.3	35.0	55.0	4.0	9.4
eds_python_2020_385	3.0					4.0		0.4					20.0		2.0	35.0	0.0	5.0	4.0
eds_python_2020_386	1.0	10.0	10.0	20.0		10.0	12.0	6.2			7.0	15.0	10.0	15.0	4.7	25.0	40.0	15.0	8.0
eds_python_2020_387								0.0							0.0
eds_python_2020_388	0.0	10.0	10.0	7.0	30.0		12.0	6.9							0.0	24.0	0.0	5.0	2.9
