STUDY	AGE	GENDER	DECISION	DEO1	DEO2	DEO3	DEO4	DEO5	DEO6	DEO7	DEO8	DEO9	DEO10	DEO	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON	NFC1 	NFC2 	NFC3	NFC4	NFC5	NFC6	NFC7	NFC8	NFC9	NFC10	NFC11	NFC12	NFC13	NFC14	NFC15	NFC16	NFC17	NFC18	NFC	EC1	EC2	EC3	EC4	EC5	EC6	EC7	EC	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT	PP1	PP2	PP3	PP4	PP5	PP6	PP7	PP8	PP9	PP10	PP11	PP12	PP13	PP14	PP15	PP16	PP	MID1	MID2	MID3	MID4	MID5	MID6	MID7	MID8	MID9	MID10	I1	I2	I3	I4	I5	I	S1	S2	S3	S4	S5	S	AE1	AE2	AE3	AE4	AE5	AE6	AE7	AE8	AE9	AE10	AE11	AE12	AE13	AE14	AE15	AE16	AE17	AE18	AE19	AE20	AE21	AE22	AE	MOUSE1	MOUSE2	MOUSE3	MOUSE	DOUBT	OTHERCHOICE	UNCOMFORTABLE	NOSHOCK	RT
1	38	1	NA	2	2	2	1	2	2	4	2	2	2	2.1	4	4	4	5	4	4	2	4	4	4	3.9	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	5	4	5	5	5	5	5	4	4	4.714285714	5	5	5	4	5	5	5	4.857142857	1	2	1	1	1	2	2	2	1	1	1	2	1	2	1	1	1.375	3	7	1	4	1	7	7	7	7	3	7	7	7	7	7	7	3	1	4	1	3	2.4	3	3	2	4	5	4	5	6	5	5	6	6	6	7	4	6	6	6	4	5	7	5	5	6	5	5	5.333333333	NA	NA	NA	NA	NA
1	22	1	NA	1	2	2	1	2	1	2	1	2	1	1.5	4	4	4	4	4	5	3	4	4	5	4.1	4	4	5	5	5	5	5	4	5	4	4	4	4	5	5	5	4	5	4.555555556	4	4	5	3	5	3	3	3.857142857	5	4	4	4	4	3	3	3.857142857	1	2	2	1	3	2	2	2	1	1	2	1	1	2	1	2	1.625	1	4	1	4	4	6	2	4	2	1	4	6	2	4	2	3.6	1	1	4	4	1	2.2	5	5	6	4	6	5	7	6	5	7	6	6	7	7	5	7	3	7	7	3	6	6	5.727272727	5	6	6	5.666666667	NA	NA	NA	NA	NA
1	39	1	NA	1	1	3	5	3	1	4	3	3	1	2.5	4	1	4	1	3	1	1	1	3	5	2.4	3	3	4	3	1	3	3	2	2	4	4	4	3	4	4	4	3	1	3.055555556	5	4	2	4	4	3	5	3.857142857	4	5	5	2	5	4	4	4.142857143	3	2	3	3	4	3	2	3	2	1	4	1	1	2	1	2	2.3125	4	7	1	2	2	7	6	6	5	5	7	7	6	6	5	6.2	4	1	2	2	5	2.8	7	7	1	7	1	7	7	6	5	6	7	6	7	6	5	2	6	7	7	4	4	7	5.545454545	6	6	6	6	NA	NA	NA	NA	NA
1	21	0	1	2	3	3	3	3	2	3	3	3	3	2.8	4	3	3	2	3	4	3	2	2	3	2.9	3	4	5	4	5	3	5	3	4	4	3	5	4	3	4	4	5	4	4	4	4	4	4	5	4	5	4.285714286	5	5	4	4	4	4	4	4.285714286	2	1	1	2	3	2	1	2	2	1	1	2	1	1	1	1	1.5	3	7	4	4	3	7	6	6	6	3	7	7	6	6	6	6.4	3	4	4	3	3	3.4	7	7	2	5	5	6	6	7	5	2	7	6	7	3	3	5	4	6	6	2	6	6	5.136363636	4	7	7	6	2	0	6	80	9.212427
1	20	0	1	4	2	2	2	2	2	3	2	3	3	2.5	3	2	2	1	4	4	2	3	2	3	2.6	2	2	3	4	3	3	4	3	4	2	5	5	3	5	3	1	3	3	3.222222222	3	4	5	4	5	5	5	4.428571429	4	4	3	5	4	3	3	3.714285714	1	1	2	2	4	2	1	1	2	2	1	3	1	1	1	1	1.625	6	7	4	7	6	6	6	6	5	5	7	6	6	6	5	6	6	4	7	6	5	5.6	6	5	1	3	2	4	7	6	6	4	6	6	4	6	3	4	2	4	5	2	3	3	4.181818182	4	6	6	5.333333333	4	0	6.5	75	17.071711
1	21	1	1	1	2	3	2	3	2	3	2	2	2	2.2	4	2	3	4	3	4	3	4	2	4	3.3	4	4	4	3	5	2	3	3	3	3	4	4	2	2	4	3	5	4	3.444444444	2	3	5	2	3	1	2	2.571428571	4	4	2	3	4	1	4	3.142857143	2	1	2	1	3	1	1	2	2	3	1	1	1	3	2	1	1.6875	5	7	2	2	4	7	7	7	7	5	7	7	7	7	7	7	5	2	2	4	5	3.6	3	4	2	5	2	3	5	6	4	5	4	3	5	6	4	6	2	5	3	6	4	3	4.090909091	1	3	3	2.333333333	1	0	3	90	9.827884
1	23	1	1	2	2	3	2	2	2	2	2	2	2	2.1	4	2	3	4	4	4	4	4	4	4	3.7	4	2	4	4	3	1	2	3	4	4	4	4	4	4	4	3	4	4	3.444444444	4	3	3	4	5	3	4	3.714285714	2	4	4	4	3	2	2	3	2	3	1	1	2	2	1	2	1	1	1	2	2	3	2	1	1.6875	3	6	5	2	3	7	6	4	6	5	6	7	6	4	6	5.8	3	5	2	3	5	3.6	6	3	2	3	5	4	6	6	6	3	5	6	6	7	5	5	5	6	5	4	5	5	4.909090909	3	7	5	5	1	0	2.5	100	10.14303
1	20	1	1	5	4	4	4	4	2	5	4	3	2	3.7	2	2	2	3	4	4	1	2	4	4	2.8	4	3	4	2	2	2	3	2	2	3	3	4	2	3	2	2	4	5	2.888888889	4	3	4	3	5	3	4	3.714285714	5	5	5	4	3	2	4	4	2	3	2	2	4	2	1	2	3	2	2	2	2	1	1	1	2	5	6	2	1	2	7	3	3	4	3	6	7	3	3	4	4.6	5	2	1	2	3	2.6	7	6	3	5	4	4	6	5	2	3	6	6	6	6	4	6	4	6	3	4	3	3	4.636363636	5	3	4	4	1	0	5.5	70	7.447534
1	20	0	1	2	3	4	4	4	1	4	5	2	4	3.3	5	1	2	5	4	5	3	1	4	4	3.4	4	4	5	4	5	4	4	2	3	3	5	4	4	4	3	5	5	3	3.944444444	5	5	1	5	5	5	5	4.428571429	5	5	4	4	3	3	4	4	2	3	4	1	3	1	2	2	2	2	1	2	1	2	2	1	1.9375	7	6	2	6	7	7	7	7	5	5	6	7	7	7	5	6.4	7	2	6	7	5	5.4	6	2	1	5	6	6	6	7	7	5	3	3	7	7	6	7	4	7	6	2	4	6	5.136363636	4	3	3	3.333333333	5	0	4	100	8.940727
1	19	0	1	3	3	2	2	3	3	3	2	3	3	2.7	2	2	2	2	2	2	3	2	2	2	2.1	3	3	3	4	4	3	3	2	4	4	4	4	4	4	4	4	3	4	3.555555556	4	4	5	5	5	4	4	4.428571429	5	4	4	4	4	4	4	4.142857143	3	2	2	1	3	1	2	2	1	1	2	2	1	3	1	1	1.75	5	6	3	5	5	7	5	6	6	4	6	7	5	6	6	6	5	3	5	5	4	4.4	6	3	3	3	6	4	5	6	6	6	4	5	6	6	6	5	6	6	6	5	5	4	5.090909091	6	5	5	5.333333333	6	0	7	65	11.201561
1	19	0	1	2	2	3	3	2	2	3	2	2	1	2.2	4	3	2	2	4	4	3	4	4	5	3.5	3	5	4	5	5	3	4	5	3	4	3	4	3	5	4	3	3	4	3.888888889	4	2	5	4	4	4	5	4	4	5	5	5	4	3	3	4.142857143	3	3	3	1	2	1	1	2	2	2	1	3	2	4	2	2	2.125	2	7	5	4	3	7	6	6	5	2	7	7	6	6	5	6.2	2	5	4	3	2	3.2	6	4	6	1	7	3	7	6	1	5	5	3	7	1	7	7	1	6	5	5	5	5	4.681818182	6	6	6	6	6	0	7	0	14.392954
1	19	0	0	2	2	3	3	3	2	4	3	2	2	2.6	4	2	1	1	3	4	2	2	2	3	2.4	2	3	4	3	2	3	2	4	3	2	3	2	2	2	3	4	4	3	2.833333333	3	2	3	4	3	3	4	3.142857143	4	4	4	2	4	2	3	3.285714286	1	3	1	1	3	1	1	2	2	2	2	2	1	1	1	2	1.625	4	6	3	2	3	7	5	6	6	4	6	7	5	6	6	6	4	3	2	3	4	3.2	6	2	4	3	6	4	6	3	7	5	4	6	7	7	6	7	5	7	7	5	6	6	5.409090909	6	1	1	2.666666667	4	0	7	50	NA
1	19	1	1	1	2	2	2	1	1	2	2	1	1	1.5	5	3	5	4	5	5	5	3	5	5	4.5	4	4	5	5	5	5	4	3	5	4	5	5	4	5	4	5	4	5	4.5	4	4	5	4	5	5	4	4.428571429	3	5	5	5	5	4	3	4.285714286	1	2	3	1	3	1	3	2	4	1	1	2	1	4	2	1	2	4	2	5	4	3	7	5	5	5	2	2	7	5	5	5	4.8	4	5	4	3	2	3.6	5	3	4	2	5	4	6	6	5	5	4	4	7	6	5	6	1	7	6	6	5	6	4.909090909	3	6	6	5	2	0	2	75	3.900421
1	19	0	1	1	3	1	2	1	2	3	1	3	2	1.9	3	3	1	4	1	3	3	1	3	4	2.6	3	3	5	4	4	4	3	4	4	3	3	5	2	3	3	4	5	3	3.611111111	5	4	4	3	5	4	5	4.285714286	4	3	3	3	3	2	2	2.857142857	3	2	1	2	2	2	1	2	1	1	3	2	1	1	1	1	1.625	2	7	3	1	2	7	5	5	6	4	7	7	5	5	6	6	2	3	1	2	4	2.4	4	6	5	5	7	4	5	7	5	5	6	6	5	7	3	6	5	7	6	6	5	5	5.454545455	6	7	5	6	2	0	1	100	6.014844
1	21	0	NA	2	4	3	3	2	2	3	3	2	2	2.6	5	2	3	2	5	4	3	2	4	3	3.3	3	4	4	5	4	4	4	5	3	4	4	4	1	4	4	2	2	4	3.611111111	2	2	3	3	4	3	3	2.857142857	4	5	4	5	5	3	4	4.285714286	2	2	3	3	3	2	3	2	2	2	3	2	1	3	3	1	2.3125	4	3	4	3	3	6	5	4	6	4	3	6	5	4	6	4.8	4	4	3	3	4	3.6	7	3	5	2	6	4	7	6	5	6	6	4	7	5	6	5	6	5	6	7	6	7	5.5	5	6	7	6	NA	NA	NA	NA	NA
1	19	1	1	2	3	3	2	3	1	4	3	2	2	2.5	5	2	4	4	4	5	2	4	4	4	3.8	4	4	3	3	3	3	4	4	4	4	3	5	3	4	3	3	2	3	3.444444444	4	4	4	4	4	3	3	3.714285714	4	5	4	3	4	2	3	3.571428571	3	3	3	3	2	2	3	3	2	2	2	3	3	3	2	2	2.5625	4	5	2	2	3	6	4	5	5	5	5	6	4	5	5	5	4	2	2	3	5	3.2	4	2	4	2	5	3	4	4	5	5	6	4	5	5	4	7	3	5	4	6	5	4	4.363636364	2	3	3	2.666666667	2	0	2	70	6.257604
1	19	1	1	1	3	2	2	2	1	3	3	2	1	2	5	3	5	5	5	5	4	4	5	5	4.6	4	4	4	4	4	2	3	5	4	4	4	4	4	4	2	4	2	3	3.611111111	3	4	4	4	4	3	4	3.714285714	4	3	5	1	4	3	3	3.285714286	3	2	3	2	2	2	3	3	3	2	2	1	1	4	2	2	2.3125	5	6	4	3	4	7	5	4	6	5	6	7	5	4	6	5.6	5	4	3	4	5	4.2	5	3	2	6	5	5	5	6	6	2	5	5	2	7	5	5	4	5	6	7	6	7	4.954545455	1	4	4	3	2	0	3	70	8.35017
1	19	1	1	2	5	1	1	1	1	3	3	5	3	2.5	4	1	5	5	5	5	3	3	1	3	3.5	4	4	4	4	4	3	4	3	4	4	4	4	3	4	4	2	3	3	3.611111111	1	3	3	3	2	2	1	2.142857143	4	4	4	2	3	3	2	3.142857143	4	1	4	3	3	2	3	3	2	3	3	2	2	3	2	2	2.625	4	5	3	3	5	6	2	2	5	4	5	6	2	2	5	4	4	3	3	5	4	3.8	6	3	3	4	2	6	3	5	5	3	4	5	4	6	3	6	2	4	5	6	5	5	4.318181818	4	5	4	4.333333333	4	0	6	90	4.851916
1	19	0	1	2	3	3	4	3	3	2	4	3	4	3.1	4	2	3	1	3	4	2	2	2	2	2.5	3	3	3	4	3	3	4	4	2	3	3	4	3	2	4	4	4	4	3.333333333	4	4	4	4	4	4	4	4	4	4	4	4	5	1	3	3.571428571	1	2	3	2	4	2	2	3	2	4	1	1	2	3	2	1	2.1875	7	6	4	4	6	7	5	4	6	7	6	7	5	4	6	5.6	7	4	4	6	7	5.6	7	1	3	4	7	2	6	6	4	6	6	5	7	7	6	5	3	7	5	5	6	5	5.136363636	4	4	4	4	2.5	0	6	50	6.495464
1	19	1	1	2	3	2	1	2	1	2	2	2	1	1.8	4	1	3	5	3	4	2	4	2	5	3.3	2	4	2	2	2	2	2	4	2	3	3	2	4	4	2	2	1	2	2.5	3	4	4	3	3	2	3	3.142857143	2	4	3	2	3	2	3	2.714285714	3	2	3	3	3	3	2	3	2	2	3	2	2	3	2	2	2.5	5	5	4	4	5	6	5	4	6	4	5	6	5	4	6	5.2	5	4	4	5	4	4.4	6	3	2	5	1	4	5	6	5	5	3	5	5	6	5	2	4	6	4	3	4	5	4.272727273	5	6	3	4.666666667	1	0	1	100	4.715757
1	19	0	1	1	5	3	2	3	1	4	5	2	2	2.8	1	1	1	3	3	5	1	1	3	2	2.1	3	4	2	3	4	1	2	3	4	4	2	4	2	3	3	5	5	4	3.222222222	5	5	4	4	5	5	4	4.571428571	5	5	5	5	3	3	3	4.142857143	4	4	2	2	3	1	3	1	2	3	1	3	3	3	2	1	2.375	7	7	3	4	4	7	6	6	7	2	7	7	6	6	7	6.6	7	3	4	4	2	4	5	5	3	5	2	4	4	4	1	3	4	1	5	1	1	1	1	4	1	1	1	1	2.636363636	2	2	2	2	2	0	7	0	15.143393
1	19	0	1	3	3	2	3	3	3	2	3	3	3	2.8	4	3	2	4	4	4	4	4	4	4	3.7	2	2	3	2	4	2	2	3	2	3	2	2	2	3	2	2	2	4	2.444444444	4	4	4	4	4	4	4	4	4	4	4	3	4	2	3	3.428571429	1	3	3	1	3	2	2	2	1	1	1	3	1	3	1	1	1.8125	3	7	4	4	2	7	6	6	7	5	7	7	6	6	7	6.6	3	4	4	2	5	3.6	2	1	2	5	7	3	6	7	7	7	4	7	7	7	6	7	4	6	7	6	5	4	5.318181818	3	4	4	3.666666667	6	0	7	0	12.789853
1	18	1	1	2	3	3	3	3	2	3	3	3	3	2.8	4	1	1	3	4	3	4	1	3	4	2.8	3	2	4	4	3	2	2	1	2	3	3	4	4	3	3	2	3	2	2.777777778	3	4	3	4	4	4	3	3.571428571	4	3	2	4	3	2	2	2.857142857	2	2	3	2	2	2	3	2	2	2	2	2	2	3	2	2	2.1875	5	6	5	2	3	7	5	3	6	3	6	7	5	3	6	5.4	5	5	2	3	3	3.6	5	4	2	6	2	4	3	7	3	3	6	5	4	6	2	6	2	4	5	6	5	3	4.227272727	6	5	3	4.666666667	4	0	5	0	5.502697
1	19	0	1	1	4	1	4	2	1	2	5	1	1	2.2	5	1	1	2	4	4	2	1	4	5	2.9	3	1	3	4	3	4	4	4	3	2	4	4	3	3	3	4	3	4	3.277777778	4	4	3	5	5	4	5	4.285714286	5	4	4	4	4	4	4	4.142857143	1	1	2	1	2	1	2	1	2	1	1	1	1	2	2	2	1.4375	2	7	3	3	5	7	5	6	6	4	7	7	5	6	6	6.2	2	3	3	5	4	3.4	4	3	5	4	5	5	5	4	4	3	3	4	4	5	3	5	1	5	4	5	3	4	4	4	5	4	4.333333333	2	0	7	90	13.306299
1	19	0	1	2	3	4	2	3	1	5	5	2	2	2.9	4	3	2	4	4	5	1	1	3	4	3.1	4	4	5	5	5	4	5	5	5	5	4	5	4	4	5	3	4	4	4.444444444	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	3	3	1	3	2	4	1	1	2	1	1	4	1	2	1.9375	2	7	1	4	4	7	7	7	7	2	7	7	7	7	7	7	2	1	4	4	2	2.6	6	5	3	7	7	7	6	7	7	7	7	7	7	7	5	7	7	7	6	7	6	7	6.454545455	5	6	6	5.666666667	4	0	7	90	16.28628
1	19	1	1	1	1	3	4	2	1	3	3	2	3	2.3	5	1	3	4	3	5	3	1	2	5	3.2	2	2	4	3	4	2	3	5	3	4	3	4	1	2	2	3	5	3	3.055555556	4	5	3	4	4	3	4	3.857142857	4	4	4	4	4	4	4	4	3	2	3	2	2	1	2	2	1	1	2	2	1	4	1	2	1.9375	5	7	1	1	1	7	5	5	5	4	7	7	5	5	5	5.8	5	1	1	1	4	2.4	5	3	2	6	6	7	6	7	6	6	5	7	7	7	6	7	5	7	7	7	7	5	5.954545455	7	7	5	6.333333333	1	0	5	90	2.834183
1	19	1	1	2	3	3	4	2	1	4	3	4	2	2.8	3	1	2	3	3	2	3	1	3	4	2.5	3	3	3	4	3	3	2	3	2	3	4	4	2	3	2	2	3	4	2.944444444	2	2	2	2	3	3	3	2.428571429	4	4	4	4	4	2	2	3.428571429	3	4	3	2	2	3	2	3	2	3	2	3	2	3	2	2	2.5625	3	4	5	1	3	4	4	4	4	4	4	4	4	4	4	4	3	5	1	3	4	3.2	4	5	5	4	4	4	5	4	3	4	3	4	4	4	3	4	1	4	4	4	4	4	3.863636364	5	4	5	4.666666667	5	0	5	75	13.204802
1	19	1	1	2	3	3	2	2	2	4	4	3	2	2.7	4	3	3	4	4	4	2	2	3	4	3.3	3	3	3	3	3	3	4	4	2	4	3	3	3	4	3	3	5	4	3.333333333	3	3	4	3	4	3	3	3.285714286	3	5	3	4	3	3	4	3.571428571	2	2	1	1	2	2	2	3	2	3	1	2	1	2	3	2	1.9375	3	7	4	3	2	7	6	6	6	3	7	7	6	6	6	6.4	3	4	3	2	3	3	3	3	3	4	4	3	5	5	6	4	4	5	6	6	4	6	4	6	4	6	4	3	4.454545455	4	6	5	5	2	0	4	60	6.475876
1	19	1	1	3	4	4	3	1	1	3	3	4	1	2.7	5	2	2	3	5	5	4	3	4	5	3.8	3	4	5	5	5	4	4	4	4	4	4	4	3	3	4	4	4	5	4.055555556	4	3	3	4	5	4	4	3.857142857	5	4	5	4	4	4	4	4.285714286	2	2	1	3	3	3	2	2	2	2	2	2	2	2	2	2	2.125	3	7	5	1	5	7	7	6	6	6	7	7	7	6	6	6.6	3	5	1	5	6	4	6	5	1	3	5	3	7	7	7	6	7	5	7	7	4	5	6	7	5	7	7	4	5.5	2	5	5	4	2	0	2	40	8.112592
1	19	1	1	1	3	2	2	2	1	2	4	2	2	2.1	5	3	4	5	4	5	5	3	3	5	4.2	1	3	2	2	3	2	3	4	2	4	2	2	2	4	3	2	2	3	2.555555556	2	3	3	4	3	2	2	2.714285714	4	4	2	2	2	2	3	2.714285714	3	3	2	3	2	3	2	4	2	3	3	2	2	4	1	2	2.5625	4	3	3	5	4	6	2	2	5	4	3	6	2	2	5	3.6	4	3	5	4	4	4	6	2	2	3	2	4	6	3	7	5	4	3	5	6	5	6	2	6	4	5	3	4	4.227272727	5	5	4	4.666666667	1	0	2	100	11.550315
1	20	1	1	2	5	4	2	2	3	2	3	3	3	2.9	4	1	1	4	4	4	3	3	4	3	3.1	3	3	4	4	4	3	4	3	4	4	4	4	3	4	3	3	4	4	3.611111111	4	4	4	4	4	3	4	3.857142857	4	4	4	3	3	3	3	3.428571429	2	1	1	3	2	2	2	1	2	1	2	1	1	3	1	1	1.625	4	7	1	1	2	7	6	6	7	4	7	7	6	6	7	6.6	4	1	1	2	4	2.4	7	6	1	5	5	7	6	7	7	6	4	6	7	7	4	7	2	6	7	6	5	6	5.636363636	5	7	6	6	5	0	5	99	15.830459
1	18	1	0	2	4	2	2	2	2	2	4	4	2	2.6	4	1	4	4	4	4	4	1	2	4	3.2	5	3	5	5	5	4	5	5	4	4	4	5	4	4	1	5	4	4	4.222222222	2	2	2	2	3	4	3	2.571428571	3	2	3	2	3	3	3	2.714285714	3	2	3	3	4	3	3	3	3	3	3	1	2	3	1	3	2.6875	3	4	3	2	5	6	5	4	4	4	4	6	5	4	4	4.6	3	3	2	5	4	3.4	5	3	2	5	3	5	4	6	5	5	5	2	5	5	4	5	5	5	5	6	3	5	4.454545455	2	3	4	3	3	0	2	60	NA
1	19	0	1	2	1	1	1	1	1	3	2	1	1	1.4	3	1	1	3	2	3	1	1	1	4	2	2	3	4	4	4	3	4	3	4	3	2	4	3	2	2	4	3	3	3.166666667	4	5	3	5	5	4	4	4.285714286	4	4	5	4	3	3	3	3.714285714	2	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	1.3125	5	6	2	2	5	7	7	7	7	4	6	7	7	7	7	6.8	5	2	2	5	4	3.6	6	3	6	2	6	4	7	6	5	6	5	6	7	7	4	5	7	6	4	2	5	7	5.272727273	5	7	5	5.666666667	5	0	7	70	18.132611
1	19	0	1	3	3	3	3	3	3	2	3	4	2	2.9	3	1	2	2	3	2	3	1	2	3	2.2	2	2	3	3	3	2	2	2	3	4	3	3	2	3	2	3	2	3	2.611111111	4	3	3	4	4	4	4	3.714285714	4	4	4	3	4	3	4	3.714285714	3	2	3	2	2	3	2	2	2	2	1	2	2	2	2	3	2.1875	3	6	1	3	4	7	5	5	6	3	6	7	5	5	6	5.8	3	1	3	4	3	2.8	7	2	2	5	4	5	6	7	3	3	4	6	6	7	5	6	5	6	6	7	7	7	5.272727273	4	5	4	4.333333333	2	0	6	20	5.352456
1	22	1	0	2	4	4	4	3	1	4	4	4	2	3.2	2	2	2	2	2	5	4	1	4	5	2.9	4	4	5	5	4	4	4	4	5	5	5	5	5	3	2	4	4	5	4.277777778	4	3	5	4	4	4	5	4.142857143	5	5	5	4	5	3	5	4.571428571	1	1	2	2	2	2	2	3	2	3	1	1	1	2	1	1	1.6875	6	5	2	4	3	7	6	6	6	5	5	7	6	6	6	6	6	2	4	3	5	4	3	3	2	4	4	3	5	7	7	5	3	5	6	7	4	6	4	6	4	2	4	3	4.409090909	3	6	4	4.333333333	5	0	5	70	NA
1	19	1	NA	3	4	3	2	4	2	4	3	3	1	2.9	4	2	4	4	4	5	2	2	3	5	3.5	4	2	4	4	3	2	2	4	2	4	2	3	2	4	4	4	3	5	3.222222222	4	2	2	2	4	3	4	3	2	2	3	2	3	5	5	3.142857143	3	2	3	3	2	4	2	2	2	2	1	4	2	3	3	3	2.5625	3	6	3	1	5	7	5	4	6	4	6	7	5	4	6	5.6	3	3	1	5	4	3.2	6	4	1	6	2	2	3	7	5	2	5	4	5	7	6	6	6	2	2	7	4	1	4.227272727	7	3	3	4.333333333	NA	NA	NA	NA	NA
1	19	1	NA	2	4	4	2	3	2	2	2	3	3	2.7	5	2	4	4	4	5	4	4	3	4	3.9	2	2	4	2	4	2	4	5	2	3	4	3	4	4	4	4	4	4	3.388888889	2	2	4	2	3	2	3	2.571428571	5	5	5	4	3	5	2	4.142857143	2	3	3	2	2	3	3	2	1	1	1	3	2	4	2	1	2.1875	5	6	3	2	3	7	6	6	7	2	6	7	6	6	7	6.4	5	3	2	3	2	3	4	2	1	6	6	1	5	6	5	5	5	4	6	3	5	4	5	6	3	7	3	3	4.318181818	3	5	2	3.333333333	NA	NA	NA	NA	NA
1	18	0	1	2	2	2	1	1	1	3	2	2	1	1.7	3	2	2	3	5	4	1	2	2	4	2.8	2	1	4	3	4	3	5	3	2	5	4	5	2	3	2	4	4	4	3.333333333	4	4	2	4	4	4	5	3.857142857	5	4	5	3	5	5	5	4.571428571	1	1	3	1	1	1	2	2	1	1	1	2	1	1	1	1	1.3125	3	7	4	5	1	7	6	6	5	3	7	7	6	6	5	6.2	3	4	5	1	3	3.2	3	4	6	6	5	3	1	7	7	4	7	4	5	5	4	7	5	5	4	1	1	1	4.318181818	1	7	7	5	3	0	5	50	6.038822
1	18	0	1	3	3	3	3	3	3	3	3	3	4	3.1	3	1	1	2	3	3	3	1	4	1	2.2	4	4	4	5	5	4	4	3	4	4	5	4	4	3	3	3	4	4	3.944444444	4	4	5	4	4	5	5	4.428571429	4	4	4	4	4	3	4	3.857142857	2	2	3	2	2	2	3	3	2	2	1	2	2	2	1	2	2.0625	3	6	3	4	3	7	7	7	7	3	6	7	7	7	7	6.8	3	3	4	3	3	3.2	7	5	7	5	4	2	5	5	7	4	6	5	6	7	5	7	2	7	5	2	3	5	5.045454545	3	7	7	5.666666667	3	0	7	0	10.23601
1	18	1	1	2	2	2	3	2	2	3	3	3	2	2.4	4	2	2	4	3	4	3	1	4	4	3.1	3	2	4	3	4	1	5	4	2	5	3	4	1	2	3	4	5	4	3.277777778	5	4	4	3	5	4	4	4.142857143	5	4	5	2	4	3	4	3.857142857	2	3	2	1	2	2	2	1	1	1	1	3	1	1	1	1	1.5625	6	7	5	4	6	7	6	7	7	6	7	7	6	7	7	6.8	6	5	4	6	6	5.4	7	3	4	4	7	4	6	7	7	5	6	7	6	7	4	7	2	6	6	4	4	3	5.272727273	3	5	4	4	3	0	5	50	13.966976
1	19	0	1	2	2	2	2	2	2	3	2	3	2	2.2	4	2	3	3	3	4	3	3	2	4	3.1	2	2	3	3	3	3	3	4	3	3	4	4	2	4	2	3	3	3	3	4	2	4	4	4	4	5	3.857142857	4	4	5	3	2	2	3	3.285714286	3	2	3	1	2	3	1	3	2	1	1	3	2	3	3	2	2.1875	5	1	5	5	5	7	6	7	7	5	1	7	6	7	7	5.6	5	5	5	5	5	5	6	4	5	3	5	7	5	4	5	6	4	2	7	7	6	6	4	6	5	7	7	4	5.227272727	3	5	5	4.333333333	1	0	3.5	50	8.112786
