CLASS	EXPN	INCOME	TEST
23	3	10	15
28	3	46	44
12	5	39	76
18	2	22	7
30	5	20	30
21	5	49	59
20	3	46	77
29	4	46	61
25	6	14	22
18	10	58	85
29	1	14	2
26	3	54	66
24	5	36	51
28	1	54	32
25	3	16	22
12	9	40	69
29	8	12	39
25	10	44	69
20	4	11	39
11	5	24	45
25	5	14	33
16	7	15	39
26	10	55	75
24	9	13	45
12	6	56	98
12	3	40	51
17	10	53	76
24	7	47	73
28	9	10	35
22	5	35	50
29	3	16	35
29	5	19	36
20	6	55	95
17	6	15	39
14	10	19	53
31	6	18	15
18	8	38	61
31	5	49	73
16	8	56	83
21	7	44	84
16	3	27	56
18	7	19	14
25	7	47	73
29	3	13	6
10	6	18	50
20	5	23	34
25	10	43	76
27	9	59	91
31	3	45	49
19	8	35	62
28	2	33	45
18	4	45	65
24	4	31	49
28	4	59	45
15	8	51	90
21	4	15	43
19	10	45	72
23	3	32	37
29	5	31	53
17	8	56	73
18	9	12	34
19	10	38	76
24	4	14	9
18	4	48	70
19	10	15	65
29	8	58	82
28	4	52	67
19	7	23	31
21	4	56	81
18	5	28	66
21	3	21	36
21	4	24	46
13	10	56	88
20	9	46	67
24	9	16	41
10	6	56	69
21	9	16	27
24	8	27	43
25	6	20	25
20	7	46	64
15	7	22	52
12	10	11	46
23	6	50	74
24	7	47	53
20	7	52	72
14	6	16	44
26	6	18	28
26	2	47	42
16	5	29	63
23	3	50	87
23	3	37	52
22	4	21	50
15	7	31	60
27	3	11	31
18	6	28	56
29	4	42	35
14	8	48	73
28	7	45	57
19	4	22	26
19	5	34	69
13	7	31	46
30	2	57	41
19	3	22	30
15	3	31	55
19	2	59	82
23	10	59	101
21	3	55	51
17	7	29	67
24	3	35	32
19	8	35	70
21	5	29	67
26	8	46	73
13	7	49	84
19	8	39	79
25	2	43	61
16	8	27	25
15	7	33	63
26	2	58	63
13	3	37	60
17	10	51	84
15	6	15	42
26	9	14	29
26	8	53	98
30	3	36	30
25	9	26	57
26	5	22	35
26	3	40	58
21	9	45	63
27	7	59	83
22	7	45	65
32	8	60	66
29	2	44	62
30	1	21	31
25	9	54	74
25	8	42	43
20	8	58	71
21	6	42	59
27	2	28	45
22	9	44	57
25	4	24	28
17	4	32	69
18	5	16	42
24	9	53	86
17	10	52	75
28	4	34	39
24	6	41	65
25	4	45	55
24	7	29	50
17	9	33	71
20	5	53	74
16	9	41	94
20	5	24	52
20	6	10	31
21	3	43	63
22	7	11	23
17	4	47	82
22	2	53	71
24	3	41	56
27	8	33	47
27	4	53	69
25	3	56	69
31	5	28	21
27	2	47	40
18	4	49	65
20	2	32	37
28	3	39	49
21	3	13	27
28	3	50	49
17	3	14	26
24	7	22	47
26	7	16	46
16	7	37	71
23	9	15	45
16	10	41	66
18	9	22	63
30	2	60	48
22	10	33	43
25	6	34	47
31	8	38	37
16	8	47	67
23	7	57	99
16	10	21	50
25	4	12	9
20	7	59	77
27	2	22	49
12	9	56	114
22	5	43	58
21	2	48	65
12	10	19	58
19	7	38	77
22	3	38	61
21	6	59	100
17	8	47	85
17	7	13	34
25	3	16	42
23	8	41	70
26	6	21	16
23	2	32	49
25	5	16	34
19	10	52	83