sales	training	female	experience	capital	IQ
145.554	0	0	2	0	101
100.768	0	0	2	0	83
107.222	0	0	1	0	85
143.026	0	1	1	1	101
176.246	0	0	1	0	98
110.258	0	0	1	0	92
136.906	0	0	1	0	88
182.019	0	1	1	1	96
164.117	0	1	3	1	93
228.811	1	1	2	1	113
198.102	0	0	1	0	106
189.206	1	1	1	1	93
207.958	0	1	3	1	110
229.347	0	0	3	0	117
208.326	1	0	5	1	86
148.562	0	0	5	0	85
216.759	1	0	3	0	94
213.265	0	0	5	1	82
174.813	0	0	5	0	120
107.477	0	0	1	0	91
185.937	1	1	5	0	107
164.757	1	0	1	0	122
139.807	0	0	1	0	96
167.083	0	0	1	0	119
218.714	0	0	2	1	107
181.381	0	0	3	0	107
202.61	1	0	2	0	119
129.705	0	0	2	1	83
181.388	1	0	3	0	102
167.623	0	0	4	0	88
224.894	0	0	1	1	103
169.81	0	0	4	0	80
284.866	1	0	5	0	115
201.378	1	0	2	1	120
140.084	0	0	1	0	120
158.498	0	0	5	1	81
158.719	0	1	1	0	109
131.289	0	1	3	1	91
130.551	1	0	1	1	86
162.875	0	0	4	1	91
198.831	1	1	5	1	86
133.276	0	1	3	1	95
137.769	0	1	5	0	121
121.23	0	1	3	0	100
118.719	0	0	2	1	109
128.155	0	0	3	1	95
220.705	1	0	2	1	90
162.304	0	0	4	0	84
125.576	0	1	2	1	81
158.835	1	0	3	1	87
187.667	0	1	1	1	121
92.67	0	1	1	0	86
250.233	0	1	4	1	112
165.113	0	1	3	1	110
145.937	0	0	5	1	87
263.798	0	0	2	1	118
113.783	1	0	1	0	95
90.043	0	0	2	1	84
179.354	0	1	4	1	89
182.442	0	0	5	1	116
210.639	0	0	2	0	95
95.439	0	0	4	0	81
127.778	0	0	2	0	111
179.248	1	0	5	0	89
112.633	0	0	3	1	91
221.207	0	1	4	0	99
156.132	1	0	2	1	117
175.546	0	0	2	1	81
158.18	0	0	5	1	117
218.599	0	0	5	1	95
105.023	0	1	3	0	80
133.627	1	1	2	1	102
178.287	0	0	1	1	113
291.99	1	0	3	0	120
152.005	0	1	3	0	102
191.743	0	0	4	1	110
166.373	0	0	2	0	96
172.69	0	1	5	1	115
187.641	0	1	5	0	113
172.104	0	0	3	1	104
143.702	0	0	1	0	109
176.277	0	0	3	1	122
153.965	1	1	3	0	83
167.988	0	0	1	0	91
150.385	0	0	2	1	106
308.249	1	0	5	1	109
193.161	1	0	3	1	110
275.074	1	0	5	1	95
168.053	0	0	5	0	105
179.768	1	1	2	0	120
141.755	0	0	2	0	105
191.627	0	1	1	1	111
174.707	0	1	1	0	121
161.521	1	0	4	0	96
143.172	0	0	1	0	119
177.245	0	0	2	1	117
288.83	0	0	2	1	119
163.632	0	0	1	1	104
109.11	0	0	1	0	91
161.665	0	0	2	0	110
159.252	1	0	1	1	108
166.833	0	1	1	1	114
172.498	1	0	4	0	100
156.841	1	1	2	0	88
189.811	0	0	1	0	91
124.933	0	0	5	0	97
173.973	0	0	3	0	110
205.927	0	0	2	1	121
90.832	0	1	5	1	87
147.032	0	0	1	1	103
139.335	0	0	5	0	88
207.663	0	1	1	1	101
181.775	0	1	5	0	109
151.066	0	0	4	0	108
99.862	0	0	5	1	80
134.927	1	0	3	1	107
99.531	0	1	2	0	99
192.703	1	0	1	0	103
158.599	0	0	5	1	94
142.128	0	0	2	1	100
130.178	0	1	4	0	88
164.04	1	0	5	0	115
146.268	0	0	3	0	94
237.096	0	0	3	0	122
211.258	0	0	5	0	109
133.576	1	1	5	1	99
166.92	0	1	1	0	109
127.906	0	0	1	0	103
173.349	0	0	3	0	97
145.954	0	0	1	0	107
138.796	0	1	3	1	93
254.597	1	0	2	1	118
187.55	0	0	4	1	114
202.269	0	0	3	1	106
130.136	0	0	3	1	105
171.33	0	0	2	0	101
183.12	0	1	2	0	91
118.352	1	1	2	1	85
144.475	0	0	3	0	111
157.458	1	0	3	1	118
176.266	0	0	4	1	95
198.186	0	0	2	1	109
154.392	1	1	3	1	88
18.591	0	0	1	0	80
150.97	1	0	1	1	118
188.872	1	0	2	0	113
146.268	0	1	1	0	93
223.722	0	0	2	1	120
273.218	1	1	3	0	101
151.74	0	0	3	1	113
172.345	0	0	5	0	109
229.5	1	1	2	1	101
132.534	0	1	2	1	104
196.984	0	0	2	0	113
145.481	0	0	2	0	104
131.434	0	1	2	1	105
206.566	1	0	2	1	118
114.808	0	1	2	0	96
167.432	0	0	2	1	117
402.399	0	0	4	0	118
170.109	0	0	5	1	118
175.845	1	0	3	1	100
133.632	0	1	3	0	118
146.822	0	0	2	0	83
191.221	1	0	3	0	80
303.017	0	0	4	1	115
188.682	0	1	2	1	107
195.343	0	0	1	0	114
184.01	1	0	3	0	121
226.511	0	1	3	0	117
149.573	0	0	1	0	105
159.717	0	1	2	1	114
191.645	0	0	3	1	96
143.961	0	0	3	1	95
126.876	0	0	3	1	113
196.059	0	1	4	1	95
128.177	0	1	2	1	112
164.795	0	1	5	0	93
248.103	0	0	5	0	91
187.049	0	1	4	0	101
145.679	1	0	3	0	80
202.012	0	0	5	1	116
204.931	1	0	4	1	111
213.157	0	0	2	0	118
150.279	0	1	1	0	109
153.03	1	1	3	0	91
190.154	1	0	2	1	87
171.724	0	0	1	1	88
125.73	0	0	4	1	80
135.906	0	0	3	0	89
150.246	0	0	4	1	106
149.778	0	0	5	1	115
123.148	0	1	3	0	82
158.937	1	0	2	0	90
195.925	1	0	1	0	110
198.572	0	0	2	1	99
115.361	0	0	3	1	84
159.592	0	0	2	0	93
146.538	0	0	3	1	88
159.714	0	0	5	1	105
142.617	0	0	2	1	81
173.781	1	0	3	1	112
116.745	0	0	3	0	81
145.52	0	0	4	1	105
235.717	0	0	1	1	106
206.263	0	0	1	1	102
136.037	1	0	3	0	89
134.604	0	1	1	0	81
118.921	0	0	1	1	89
155.904	1	1	1	1	108
196.222	0	0	4	0	122
203.874	0	0	1	1	93
136.42	0	0	1	0	93
166.346	0	1	3	1	85
241.141	0	0	5	1	109
188.351	0	1	5	0	89
266.896	1	0	2	0	120
84.941	0	0	4	0	86
167.676	0	0	3	1	114
160.444	1	0	1	1	80
168.964	1	1	1	0	98
220.635	1	0	3	1	118
153.514	0	1	2	0	93
156.152	0	0	4	1	92
191.741	0	0	4	0	86
189.974	1	1	1	1	103
161.887	0	0	1	0	89
226.02	0	0	3	0	113
150.527	0	0	2	0	117
157.466	0	0	1	0	116
132.177	0	0	2	1	84
222.711	1	0	2	0	105
263.885	1	0	4	1	109
202.137	1	0	5	1	97
116.835	0	1	1	0	107
164.917	0	1	3	0	117
249.376	0	0	4	0	103
186.523	0	1	2	0	85
154.674	0	0	3	1	82
160.954	0	0	2	1	103
188.977	1	0	2	1	113
166.073	0	1	4	1	105
193.904	0	0	2	0	94
175.377	0	1	2	0	122
238.445	1	0	4	1	111
260.255	0	0	4	1	114
128.357	0	0	3	0	82
146.827	1	0	3	1	90
112.766	0	0	3	0	96
171.608	0	0	3	0	111
337.864	1	0	4	0	118
180.836	0	0	4	0	81
246.039	1	1	5	0	108
207.806	0	0	4	1	92
185.964	0	0	5	0	109
161.627	0	0	2	1	101
216.287	0	1	4	1	117
181.841	0	0	4	1	95
147.328	0	0	1	1	111
171.424	0	1	3	0	104
109.78	0	1	1	1	88
85.678	0	0	3	0	87
143.637	1	1	4	1	102
148.536	1	0	5	0	105
173.66	0	0	3	1	111
205.905	0	1	3	1	112
143.438	0	0	1	1	111
215.327	1	0	4	1	119
142.846	0	0	3	0	107
251.763	1	0	3	1	119
166.982	0	0	1	0	86
220.793	1	1	4	1	109
128.876	0	1	5	1	99
164.349	1	1	4	0	93
279.048	0	0	5	0	121
260.897	0	0	5	1	116
123.177	0	0	3	1	106
132.684	0	0	2	1	83
161.838	0	0	4	0	105
143.811	0	1	1	0	118
178.681	0	0	1	1	102
218.371	0	0	4	0	107
188.737	1	0	4	0	109
157.695	1	0	1	1	113
117.574	0	0	5	0	87
166.78	0	0	3	0	85
171.803	0	0	1	1	110
182	1	0	2	1	112
146.799	0	1	5	1	103
120.71	0	0	1	1	83
190.783	0	1	4	0	91
198.865	1	1	2	0	119
280.138	0	1	4	0	120
272.659	1	1	3	0	117
186.946	0	0	1	0	117
181.092	0	1	5	1	104
182.368	1	0	2	0	97
127.718	0	0	2	0	87
147.454	1	1	3	0	96
149.413	0	0	4	0	107
148.186	0	0	5	1	97
156.335	0	1	1	0	108
177.798	0	0	2	1	105
131.137	0	1	1	1	95
282.487	1	0	5	0	112
80.082	0	0	2	1	99
228.11	1	0	5	1	92
201.018	0	0	4	0	115
160.269	1	0	5	0	96
162.454	0	0	1	0	81
179.819	0	1	3	0	95
148.081	0	0	4	1	89
217.099	1	0	1	1	97
268.649	0	0	5	0	122
131.224	0	0	5	1	86
185.213	0	0	3	1	103
200.522	0	0	4	0	102
105.779	0	1	2	1	83
138.274	0	0	4	0	106
145.378	1	0	4	0	102
289.305	1	0	3	0	121
157.306	1	0	2	1	103
208.758	0	0	4	1	107
209.479	1	0	5	0	106
146.399	0	0	3	1	80
194.146	0	1	4	0	99
251.109	1	0	2	1	117
204.229	0	0	2	0	110
124.616	0	1	1	1	104
174.246	0	0	2	0	101
321.183	1	1	3	1	103
202.759	1	0	4	0	105
150.561	0	0	3	1	96
224.102	0	1	3	1	119
220.606	1	0	1	1	114
198.121	0	0	3	1	106
195.653	1	1	4	0	114
267.209	0	0	5	0	122
165.371	0	0	3	1	103
163.183	0	0	1	1	102
191.46	0	0	2	1	98
162.826	0	1	5	0	104
183.593	0	1	5	1	111
169.412	1	0	1	1	98
172.026	1	0	2	1	106
153.518	1	0	4	1	90
120.723	0	0	2	1	84
161.317	1	0	5	1	87
177.401	0	0	5	1	90
187.904	0	1	2	1	111
176.976	0	1	5	0	121
140.572	0	0	3	1	100
172.757	1	1	5	0	100
218.11	1	1	5	1	121
130.725	0	0	2	1	99
167.197	1	0	5	0	83
214.263	0	1	4	0	95
122.689	0	0	1	0	96
154.818	1	0	2	0	99
163.872	0	0	5	1	92
248.133	1	0	3	1	104
153.664	0	0	2	0	117
193.424	1	0	5	0	116
115.322	0	0	1	1	80
121.314	0	0	4	0	87
154.64	0	0	5	0	91
165.92	1	1	4	0	98
146.731	0	1	1	1	107
173.437	0	0	3	1	88
127.674	0	0	2	0	96
190.055	1	1	1	1	110
176.728	0	1	4	0	89
154.042	0	0	5	1	90
195.22	1	0	1	0	106
158.206	0	0	3	0	93
184.52	0	0	3	1	119
202.385	1	0	5	1	92
143.289	1	1	4	0	93
158.019	1	0	5	0	83
157.371	0	0	4	0	91
175.165	0	0	5	0	119
247.316	1	0	5	1	103
170.683	0	0	5	1	104
214.051	0	0	2	1	96
238.773	1	0	1	0	121
264.56	0	0	2	0	121
146.184	0	1	5	1	84
174.759	0	0	5	1	98
236.346	1	0	2	1	121
189.139	0	1	2	0	120
214.73	1	1	4	1	120
181.542	0	1	2	0	113
126.806	0	1	2	1	91
199.159	0	0	3	0	118
159.255	1	0	2	0	113
184.914	0	1	5	0	113
153.849	0	0	4	0	95
183.748	0	1	1	1	83
187.261	0	0	5	1	100
182.883	1	0	3	1	115
132.761	0	0	2	0	83
166.776	1	1	2	1	97
242.032	1	0	2	1	105
206.964	0	0	5	1	116
146.379	0	0	5	0	93
258.627	1	0	1	1	120
121.831	0	0	3	0	80
127.361	0	0	2	1	89
145.323	0	1	1	0	82
93.342	0	0	1	0	101
119.871	1	0	1	0	99
95.686	0	0	2	0	80
174.503	0	1	4	1	88
185.186	1	0	5	1	119
118.031	0	0	1	0	103
148.208	0	0	2	1	87
189.237	0	0	4	1	115
170.777	0	1	1	1	103
178.803	1	0	3	1	113
105.96	0	0	1	1	97
169.594	1	1	3	0	114
175.131	0	1	2	1	96
235.203	1	0	3	1	115
185.406	1	1	1	1	112
117.766	0	0	2	1	84
208.239	0	0	3	1	105
233.813	1	0	4	0	104
158.993	0	0	5	0	97
171.408	0	0	2	1	105
173.192	0	1	2	0	112
119.12	0	0	4	0	86
231.09	0	0	2	1	110
145.184	0	0	3	0	84
136.335	0	0	3	0	94
209.014	0	0	2	0	110
271.291	1	1	5	1	121
192.509	0	0	1	0	86
132.412	1	1	2	0	90
127.805	0	0	5	0	80
134.342	0	1	3	0	80
174.657	0	0	2	0	85
140.208	0	1	1	0	101
141.228	1	0	2	1	94
132.492	0	0	2	0	92
195.295	0	0	4	1	111
155.524	1	0	4	0	85
120.223	0	0	3	0	90
219.057	1	0	1	0	122
129.687	0	0	3	1	80
132.614	0	0	4	0	86
121.326	0	1	4	0	96
158.134	1	0	4	1	97
186.204	0	1	3	1	120
117.755	0	0	4	0	116
232.075	0	0	1	0	122
184.376	0	1	2	1	80
272.368	1	0	3	0	122
147.721	0	0	4	0	96
170.116	0	0	4	1	89
143.858	0	0	3	1	85
156.205	0	1	4	1	102
228.535	1	1	1	1	101
165.375	0	0	3	0	121
215.969	0	1	1	0	120
134.792	0	0	2	0	101
216.151	0	1	4	1	113
164.063	0	0	4	1	97
233.203	1	0	3	0	114
151.332	0	1	5	1	92
115.864	1	0	1	0	83
229.483	1	0	1	0	113
119.762	0	0	1	1	86
143.742	0	1	1	0	87
145.372	1	0	5	1	99
153.167	0	0	1	0	107
148.753	0	1	3	1	105
95.647	0	0	1	1	88
241.28	1	0	4	1	96
139.201	0	0	4	1	94
142.798	1	0	3	1	82
248.544	0	0	3	0	122
154.593	1	0	5	1	107
225.862	0	1	2	1	108
188.193	0	0	2	0	100
161.378	1	1	2	1	98
203.308	0	0	4	1	96
243.517	0	0	5	0	101
251.501	0	1	4	0	100
94.736	0	0	5	0	99
135.371	0	1	1	1	82
174.182	1	1	4	1	103
193.771	0	1	4	0	112
235.253	0	0	2	0	117
135.16	0	0	5	1	99
208.144	0	0	5	0	112
156.872	1	1	5	1	97
178.209	0	0	2	1	122
129.911	0	0	1	0	114
221.167	1	0	5	1	116
182.907	1	1	4	1	90
100.964	1	0	3	1	94
276.614	1	0	4	1	122
207.607	1	0	5	0	82
239.881	0	0	3	1	107
137.15	0	0	1	1	100
200.592	1	0	2	0	116
108.24	0	1	2	1	82
126.292	0	1	3	0	85
89.545	0	0	1	1	92
124.699	1	1	3	1	112
202.476	0	0	3	1	113
160.975	0	0	2	1	115
217.598	1	1	5	0	112
139.577	0	0	5	1	89
176.754	1	1	2	1	86
105.502	1	0	4	0	95
186.021	0	0	5	1	96
241.024	0	0	2	1	120
234.265	0	0	4	0	113
132.84	1	0	2	0	88
167.462	0	1	5	0	100
199.622	0	0	4	0	116
115.267	0	0	2	0	85
188.296	0	0	1	0	115
174.419	0	0	2	0	95
197.112	0	0	4	1	110
144.76	0	0	4	0	106
161.553	1	0	3	1	82
223.13	0	1	2	0	116
241.393	1	0	1	1	115
162.661	0	0	4	0	117
247.911	1	0	4	0	116
236.513	1	0	4	1	119
217.192	0	0	5	1	95
155.655	0	0	1	1	119
216.962	1	0	1	1	107
161.062	1	0	2	1	113
166.317	1	0	5	1	106
122.71	0	0	2	0	83
180.817	1	0	1	0	110
204.066	0	0	1	0	114
130.644	0	0	4	0	92
179.373	0	0	5	1	114
234.379	1	1	1	1	115
197.498	0	0	4	1	116
224.575	1	0	4	1	105
161.938	0	1	4	1	84
197.371	1	1	5	1	98
205.837	0	0	5	0	119
128.521	0	1	1	0	97
261.803	0	0	3	0	99
190.701	1	1	3	0	99
233.211	0	0	5	1	105
156.552	1	0	4	1	96
156.724	1	0	5	0	93
172.393	0	1	5	0	100
113.909	1	0	5	0	112
170.378	0	0	4	0	88
285.108	0	0	2	0	117
146.766	0	0	5	1	82
185.4	0	1	1	1	117
229.71	0	1	4	0	111
158.507	1	1	3	1	89
176.811	0	1	5	1	115
157.076	0	0	3	1	107
142.208	1	0	1	0	101
233.708	0	1	3	1	106
142.065	0	0	5	0	98
149.922	0	0	5	1	97
176.376	1	0	5	0	84
228.04	0	0	2	1	119
173.448	0	1	3	0	115
256.639	0	1	1	1	100
247.974	1	1	5	0	117
229.312	0	1	4	1	118
190.009	1	0	2	0	115
158.009	1	0	4	0	93
175.582	0	0	4	0	114
155.311	1	0	1	1	106
236.098	1	1	3	1	110
106.826	1	0	4	0	89
109.158	0	0	3	1	101
171.327	0	0	4	0	102
150.49	1	1	4	0	106
319.999	1	0	3	1	117
149.438	1	0	2	0	110
171.154	1	0	2	1	91
172.401	0	0	4	0	103
241.783	0	0	1	0	116
202.958	0	0	4	0	113
105.592	0	0	5	1	87
167.291	0	0	1	1	110
130.03	0	0	3	0	96
172.295	0	0	5	0	113
116.212	0	0	1	1	93
153.326	1	0	2	1	80
177.846	0	0	4	0	89
151.056	1	0	3	0	108
152.959	0	0	5	0	113
160.436	0	0	1	0	102
177.049	0	1	3	0	88
123.657	1	0	1	0	82
198.871	0	0	5	1	107
224.36	1	0	1	0	107
168.214	1	0	2	0	85
179.534	1	0	4	0	95
156.155	0	0	1	1	116
244.557	1	0	5	1	110
247.388	1	0	1	1	113
146.079	0	1	5	0	92
168.541	0	0	1	0	103
195.563	1	1	2	0	117
135.134	0	1	4	1	98
154.022	1	0	2	1	119
115.679	0	0	2	0	88
164.24	1	0	5	0	90
193.492	1	0	4	1	120
224.918	1	0	3	1	90
172.476	1	0	2	0	118
154.119	0	1	2	0	101
153.616	0	0	4	0	99
113.271	0	0	2	0	90
241.159	1	0	4	1	101
229.031	0	1	1	1	100
132.191	0	0	2	1	90
194.717	1	0	4	1	106
168.901	1	0	3	1	98
264.951	0	0	5	0	119
116.346	0	0	3	1	94
260.118	1	0	1	1	119
148.722	1	0	4	0	91
146.516	0	1	2	0	103
209.981	1	0	2	1	102
149.704	0	0	3	1	105
93.72	0	1	2	0	82
227.179	0	1	3	0	121
188.014	0	0	5	0	105
176.891	0	1	5	0	98
195.474	0	0	2	0	112
151.931	0	0	5	0	100
152.055	0	1	2	1	94
178.992	0	0	3	0	120
179.068	0	0	3	0	102
188.196	0	0	1	0	91
141.428	0	0	1	0	115
224.494	1	0	4	1	89
208.791	1	0	3	0	122
175.277	1	0	5	1	81
266.661	0	0	1	0	118
216.106	0	0	5	1	116
192.571	0	1	3	1	120
181.836	0	1	4	1	100
148.081	0	0	1	1	99
196.556	0	1	2	0	92
142.548	0	0	1	0	80
207.553	0	1	2	0	122
188.978	0	1	1	1	117
124.035	0	0	5	0	94
150.045	0	0	2	0	104
216.184	1	0	1	1	111
189.435	0	1	3	0	112
142.19	0	0	2	1	94
200.776	1	0	3	1	91
177.801	0	0	1	1	90
